date,rashes,isPartial
2020-12-28,100,False
2020-12-29,70,False
2020-12-30,50,False
2020-12-31,0,False
2021-01-01,48,False
2021-01-02,62,False
2021-01-03,71,False
2021-01-04,73,False
2021-01-05,70,False
2021-01-06,54,False
2021-01-07,61,False
2021-01-08,63,False
2021-01-09,57,False
2021-01-10,78,False
2021-01-11,42,False
2021-01-12,58,False
2021-01-13,63,False
2021-01-14,70,False
2021-01-15,92,False
2021-01-16,54,False
2021-01-17,70,False
2021-01-18,67,False
2021-01-19,57,False
2021-01-20,48,False
2021-01-21,42,False
2021-01-22,58,False
2021-01-23,79,False
2021-01-24,53,False
2021-01-25,57,False
2021-01-26,64,False
2021-01-27,44,False
