date,face shield,isPartial
2020-08-23,100,False
2020-08-24,100,False
2020-08-25,86,False
2020-08-26,79,False
2020-08-27,85,False
2020-08-28,81,False
2020-08-29,72,False
2020-08-30,63,False
2020-08-31,51,False
2020-09-01,70,False
2020-09-02,78,False
2020-09-03,51,False
2020-09-04,45,False
2020-09-05,38,False
2020-09-06,45,False
2020-09-07,42,False
2020-09-08,50,False
2020-09-09,44,False
2020-09-10,37,False
2020-09-11,34,False
2020-09-12,38,False
2020-09-13,32,False
2020-09-14,39,False
2020-09-15,42,False
2020-09-16,29,False
2020-09-17,41,False
2020-09-18,34,False
2020-09-19,29,False
2020-09-20,33,False
2020-09-21,39,False
2020-09-22,26,False
