date,face shield,isPartial
2020-11-11,81,False
2020-11-12,0,False
2020-11-13,53,False
2020-11-14,53,False
2020-11-15,58,False
2020-11-16,49,False
2020-11-17,82,False
2020-11-18,62,False
2020-11-19,68,False
2020-11-20,60,False
2020-11-21,47,False
2020-11-22,63,False
2020-11-23,71,False
2020-11-24,59,False
2020-11-25,81,False
2020-11-26,53,False
2020-11-27,90,False
2020-11-28,78,False
2020-11-29,0,False
2020-11-30,43,False
2020-12-01,71,False
2020-12-02,72,False
2020-12-03,100,False
2020-12-04,60,False
2020-12-05,84,False
2020-12-06,57,False
2020-12-07,59,False
2020-12-08,91,False
2020-12-09,88,False
2020-12-10,52,False
2020-12-11,45,False
