date,face shield,isPartial
2021-02-06,92,False
2021-02-07,100,False
2021-02-08,93,False
2021-02-09,70,False
2021-02-10,0,False
2021-02-11,65,False
2021-02-12,0,False
2021-02-13,0,False
2021-02-14,49,False
2021-02-15,66,False
2021-02-16,70,False
2021-02-17,61,False
2021-02-18,74,False
2021-02-19,57,False
2021-02-20,81,False
2021-02-21,80,False
2021-02-22,56,False
2021-02-23,41,False
2021-02-24,91,False
2021-02-25,0,False
2021-02-26,70,False
2021-02-27,56,False
2021-02-28,69,False
2021-03-01,62,False
2021-03-02,60,False
2021-03-03,86,False
2021-03-04,45,False
2021-03-05,64,False
2021-03-06,0,False
2021-03-07,83,False
2021-03-08,46,False
