date,face shield,isPartial
2020-08-18,100,False
2020-08-19,98,False
2020-08-20,89,False
2020-08-21,95,False
2020-08-22,85,False
2020-08-23,73,False
2020-08-24,73,False
2020-08-25,63,False
2020-08-26,58,False
2020-08-27,63,False
2020-08-28,60,False
2020-08-29,53,False
2020-08-30,47,False
2020-08-31,37,False
2020-09-01,52,False
2020-09-02,57,False
2020-09-03,38,False
2020-09-04,33,False
2020-09-05,28,False
2020-09-06,33,False
2020-09-07,31,False
2020-09-08,37,False
2020-09-09,32,False
2020-09-10,27,False
2020-09-11,25,False
2020-09-12,28,False
2020-09-13,24,False
2020-09-14,29,False
2020-09-15,31,False
2020-09-16,21,False
2020-09-17,30,False
