date,face shield,isPartial
2021-02-09,76,False
2021-02-10,0,False
2021-02-11,71,False
2021-02-12,0,False
2021-02-13,0,False
2021-02-14,53,False
2021-02-15,73,False
2021-02-16,77,False
2021-02-17,67,False
2021-02-18,81,False
2021-02-19,62,False
2021-02-20,89,False
2021-02-21,88,False
2021-02-22,62,False
2021-02-23,45,False
2021-02-24,100,False
2021-02-25,0,False
2021-02-26,77,False
2021-02-27,62,False
2021-02-28,76,False
2021-03-01,68,False
2021-03-02,66,False
2021-03-03,95,False
2021-03-04,49,False
2021-03-05,70,False
2021-03-06,0,False
2021-03-07,91,False
2021-03-08,51,False
2021-03-09,88,False
2021-03-10,82,False
2021-03-11,67,False
