date,face shield,isPartial
2020-11-26,23,False
2020-11-27,40,False
2020-11-28,34,False
2020-11-29,0,False
2020-11-30,19,False
2020-12-01,31,False
2020-12-02,32,False
2020-12-03,44,False
2020-12-04,27,False
2020-12-05,37,False
2020-12-06,25,False
2020-12-07,26,False
2020-12-08,40,False
2020-12-09,39,False
2020-12-10,23,False
2020-12-11,20,False
2020-12-12,30,False
2020-12-13,33,False
2020-12-14,23,False
2020-12-15,94,False
2020-12-16,100,False
2020-12-17,64,False
2020-12-18,57,False
2020-12-19,56,False
2020-12-20,66,False
2020-12-21,32,False
2020-12-22,30,False
2020-12-23,22,False
2020-12-24,0,False
2020-12-25,0,False
2020-12-26,34,False
