date,face shield,isPartial
2020-03-28,67,False
2020-03-29,45,False
2020-03-30,69,False
2020-03-31,56,False
2020-04-01,49,False
2020-04-02,82,False
2020-04-03,64,False
2020-04-04,74,False
2020-04-05,38,False
2020-04-06,57,False
2020-04-07,88,False
2020-04-08,49,False
2020-04-09,45,False
2020-04-10,37,False
2020-04-11,57,False
2020-04-12,0,False
2020-04-13,65,False
2020-04-14,77,False
2020-04-15,77,False
2020-04-16,100,False
2020-04-17,72,False
2020-04-18,53,False
2020-04-19,58,False
2020-04-20,51,False
2020-04-21,84,False
2020-04-22,63,False
2020-04-23,41,False
2020-04-24,36,False
2020-04-25,44,False
2020-04-26,38,False
2020-04-27,48,False
