date,face shield,isPartial
2020-08-10,85,False
2020-08-11,75,False
2020-08-12,90,False
2020-08-13,81,False
2020-08-14,100,False
2020-08-15,93,False
2020-08-16,66,False
2020-08-17,61,False
2020-08-18,45,False
2020-08-19,47,False
2020-08-20,40,False
2020-08-21,45,False
2020-08-22,39,False
2020-08-23,33,False
2020-08-24,34,False
2020-08-25,31,False
2020-08-26,27,False
2020-08-27,31,False
2020-08-28,25,False
2020-08-29,25,False
2020-08-30,21,False
2020-08-31,18,False
2020-09-01,23,False
2020-09-02,26,False
2020-09-03,20,False
2020-09-04,16,False
2020-09-05,15,False
2020-09-06,15,False
2020-09-07,14,False
2020-09-08,18,False
2020-09-09,15,False
