date,face shield,isPartial
2020-06-14,0,False
2020-06-15,37,False
2020-06-16,39,False
2020-06-17,67,False
2020-06-18,57,False
2020-06-19,63,False
2020-06-20,56,False
2020-06-21,61,False
2020-06-22,61,False
2020-06-23,51,False
2020-06-24,56,False
2020-06-25,80,False
2020-06-26,71,False
2020-06-27,88,False
2020-06-28,71,False
2020-06-29,65,False
2020-06-30,66,False
2020-07-01,70,False
2020-07-02,74,False
2020-07-03,60,False
2020-07-04,84,False
2020-07-05,71,False
2020-07-06,88,False
2020-07-07,63,False
2020-07-08,88,False
2020-07-09,71,False
2020-07-10,100,False
2020-07-11,85,False
2020-07-12,73,False
2020-07-13,76,False
2020-07-14,69,False
