date,face shield,isPartial
2020-09-03,100,False
2020-09-04,87,False
2020-09-05,75,False
2020-09-06,87,False
2020-09-07,82,False
2020-09-08,98,False
2020-09-09,86,False
2020-09-10,71,False
2020-09-11,67,False
2020-09-12,73,False
2020-09-13,63,False
2020-09-14,76,False
2020-09-15,82,False
2020-09-16,57,False
2020-09-17,81,False
2020-09-18,67,False
2020-09-19,55,False
2020-09-20,64,False
2020-09-21,75,False
2020-09-22,50,False
2020-09-23,48,False
2020-09-24,74,False
2020-09-25,44,False
2020-09-26,58,False
2020-09-27,70,False
2020-09-28,52,False
2020-09-29,56,False
2020-09-30,53,False
2020-10-01,57,False
2020-10-02,60,False
2020-10-03,69,False
