date,face shield,isPartial
2021-02-08,100,False
2021-02-09,74,False
2021-02-10,0,False
2021-02-11,69,False
2021-02-12,0,False
2021-02-13,0,False
2021-02-14,52,False
2021-02-15,71,False
2021-02-16,75,False
2021-02-17,65,False
2021-02-18,79,False
2021-02-19,61,False
2021-02-20,86,False
2021-02-21,85,False
2021-02-22,60,False
2021-02-23,44,False
2021-02-24,97,False
2021-02-25,0,False
2021-02-26,75,False
2021-02-27,60,False
2021-02-28,74,False
2021-03-01,66,False
2021-03-02,65,False
2021-03-03,92,False
2021-03-04,48,False
2021-03-05,69,False
2021-03-06,0,False
2021-03-07,89,False
2021-03-08,49,False
2021-03-09,86,False
2021-03-10,79,False
