date,face shield,isPartial
2020-09-07,84,False
2020-09-08,100,False
2020-09-09,88,False
2020-09-10,73,False
2020-09-11,68,False
2020-09-12,75,False
2020-09-13,65,False
2020-09-14,78,False
2020-09-15,84,False
2020-09-16,58,False
2020-09-17,83,False
2020-09-18,69,False
2020-09-19,57,False
2020-09-20,65,False
2020-09-21,77,False
2020-09-22,51,False
2020-09-23,49,False
2020-09-24,75,False
2020-09-25,45,False
2020-09-26,59,False
2020-09-27,72,False
2020-09-28,53,False
2020-09-29,58,False
2020-09-30,55,False
2020-10-01,58,False
2020-10-02,61,False
2020-10-03,71,False
2020-10-04,61,False
2020-10-05,41,False
2020-10-06,75,False
2020-10-07,80,False
