,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cough,0.46683197589782505,1.0000000000000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fever,0.4476213834548679,0.48593288903551246,0.9999999999999507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headache,0.3982755598516072,0.29921939905006734,0.32200705004599267,0.9999999999999944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagnat,0.4158584540816501,0.4341765499721501,0.2952092387462476,0.23372857804414227,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashes,0.4947577420485385,0.5624914660815991,0.33814215672311615,0.498338209381163,0.3630172596565771,0.9999999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipon,0.33030156694100704,0.4207996583897404,0.43003447754064067,0.46124930479893167,0.2653790843353805,0.3788921397406497,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubo,0.24381041309035667,0.23412479851993287,0.22075644529757069,0.3109387124262189,0.4561115218248122,0.2947906465908956,0.28065458872022975,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecq,0.4234445471102275,0.3431285664288888,0.4104175120561378,0.20767251409396453,0.13413976190023766,0.36986225018179797,0.4751348768180129,0.32655595606677856,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0
face shield,0.44190684858839047,0.450066882169181,0.43378891409500403,0.4323117230441246,0.5712574912099434,0.48758093772557115,0.43949487840180035,0.566972229952144,0.2797410043266837,0.9999999999999997,0.0,0.0,0.0,0.0,0.0
Frontliners,0.21791069348643746,0.3235668723874732,0.33470174073209685,0.2393210522957334,0.16902843827249642,0.36237788374180285,0.6342199037273647,0.2315571505829143,0.34602102118955064,0.31007625360049096,1.0,0.0,0.0,0.0,0.0
masks,0.4397865559351604,0.40070051450926836,0.37100043359237167,0.37589686957904095,0.3293980659374559,0.3435211070131718,0.4501954313697931,0.26716733923805086,0.48351785046990015,0.7602331172036574,0.2616529989656227,1.0000000000000002,0.0,0.0,0.0
Quarantine,0.347734729825195,0.39911246807402184,0.3613552952219353,0.47022375611560674,0.3217202397488406,0.37978802025890235,0.4619492526180166,0.31981741685083376,0.28297108256274045,0.3972112006759804,0.5787982687504012,0.3577401760027894,0.9999999999999865,0.0,0.0
social distancing,0.3278047093668321,0.27318329078919923,0.39548813693535056,0.2781089808683983,0.272916081641286,0.46235172320045564,0.5683120172267098,0.26039721911877317,0.2021357993643767,0.5438605493715191,0.6667359624454519,0.42678190266675536,0.3478499931929021,0.9999999999999998,0.0
work from home,0.3477765897021096,0.32907262453505,0.2867507722062188,0.43134820582371813,0.259178629900788,0.39233346574316713,0.37091950799580753,0.4854972323086165,0.2813638580351592,0.40805546248808316,0.44861962377032566,0.3433699710452249,0.48695911413682547,0.37150115411670215,1.0000000000000004
