date,new_confirmed_cases,removed_cases,active_cases
2022-12-24,0,3,490
2022-12-25,0,1,489
2022-12-26,0,3,486
2022-12-27,0,1,485
2022-12-28,0,5,480
2022-12-29,0,3,477
2022-12-30,0,3,474
2022-12-31,0,3,471
2023-01-01,0,0,471
2023-01-02,0,1,470
2023-01-03,0,2,468
2023-01-04,0,0,468
2023-01-05,0,0,468
2023-01-06,0,0,468
2023-01-07,0,2,466
2023-01-08,0,4,462
2023-01-09,0,0,462
2023-01-10,0,1,461
2023-01-11,0,0,461
2023-01-12,0,0,461
2023-01-13,0,0,461
2023-01-14,0,0,461
2023-01-15,0,0,461
2023-01-16,0,5,456
2023-01-17,0,0,456
2023-01-18,0,2,454
2023-01-19,0,2,452
2023-01-20,0,2,450
2023-01-21,0,0,450
2023-01-22,0,2,448
2023-01-23,0,2,446
2023-01-24,0,0,446
2023-01-25,0,0,446
2023-01-26,0,0,446
2023-01-27,0,0,446
2023-01-28,0,0,446
2023-01-29,0,1,445
2023-01-30,0,1,444
2023-01-31,0,0,444
2023-02-01,0,3,441
2023-02-02,0,0,441
2023-02-03,0,1,440
2023-02-04,0,0,440
2023-02-05,0,1,439
2023-02-06,0,1,438
2023-02-07,0,1,437
2023-02-08,0,0,437
2023-02-09,0,2,435
2023-02-10,0,0,435
2023-02-11,0,3,432
2023-02-12,0,2,430
2023-02-13,0,0,430
2023-02-14,0,2,428
2023-02-15,0,1,427
2023-02-16,0,2,425
2023-02-17,0,0,425
2023-02-18,0,0,425
2023-02-19,0,2,423
2023-02-20,0,2,421
2023-02-21,0,2,419
2023-02-22,0,2,417
2023-02-23,0,0,417
2023-02-24,0,4,413
2023-02-25,0,1,412
2023-02-26,0,2,410
2023-02-27,0,1,409
2023-02-28,0,0,409
2023-03-01,0,2,407
2023-03-02,0,1,406
2023-03-03,0,0,406
2023-03-04,0,0,406
2023-03-05,0,1,405
2023-03-06,0,0,405
2023-03-07,0,1,404
2023-03-08,0,0,404
2023-03-09,0,1,403
2023-03-10,0,0,403
2023-03-11,0,0,403
2023-03-12,0,0,403
2023-03-13,0,0,403
2023-03-14,0,0,403
2023-03-15,0,1,402
2023-03-16,0,0,402
2023-03-17,0,0,402
2023-03-18,0,1,401
2023-03-19,0,0,401
2023-03-20,0,1,400
2023-03-21,0,2,398
2023-03-22,0,1,397
2023-03-23,0,0,397
2023-03-24,0,1,396
2023-03-25,0,1,395
2023-03-26,0,1,394
2023-03-27,0,3,391
2023-03-28,0,2,389
2023-03-29,0,0,389
2023-03-30,0,0,389
2023-03-31,0,2,387
2023-04-01,0,2,385
2023-04-02,0,0,385
2023-04-03,0,0,385
2023-04-04,0,0,385
2023-04-05,0,1,384
2023-04-06,0,1,383
2023-04-07,0,0,383
2023-04-08,0,2,381
2023-04-09,0,0,381
2023-04-10,0,1,380
2023-04-11,0,0,380
2023-04-12,0,2,378
2023-04-13,0,0,378
2023-04-14,0,0,378
2023-04-15,0,0,378
2023-04-16,0,0,378
2023-04-17,0,1,377
2023-04-18,0,0,377
2023-04-19,0,0,377
2023-04-20,0,0,377
2023-04-21,0,377,0
