date,cough,isPartial
2020-06-22,51,False
2020-06-23,55,False
2020-06-24,72,False
2020-06-25,79,False
2020-06-26,55,False
2020-06-27,77,False
2020-06-28,69,False
2020-06-29,66,False
2020-06-30,62,False
2020-07-01,71,False
2020-07-02,71,False
2020-07-03,66,False
2020-07-04,72,False
2020-07-05,94,False
2020-07-06,75,False
2020-07-07,77,False
2020-07-08,83,False
2020-07-09,82,False
2020-07-10,79,False
2020-07-11,85,False
2020-07-12,89,False
2020-07-13,79,False
2020-07-14,80,False
2020-07-15,89,False
2020-07-16,92,False
2020-07-17,62,False
2020-07-18,85,False
2020-07-19,88,False
2020-07-20,77,False
2020-07-21,100,False
2020-07-22,91,False
