date,cough,isPartial
2020-04-04,100,False
2020-04-05,77,False
2020-04-06,84,False
2020-04-07,91,False
2020-04-08,79,False
2020-04-09,87,False
2020-04-10,97,False
2020-04-11,78,False
2020-04-12,68,False
2020-04-13,87,False
2020-04-14,66,False
2020-04-15,81,False
2020-04-16,72,False
2020-04-17,70,False
2020-04-18,77,False
2020-04-19,63,False
2020-04-20,83,False
2020-04-21,68,False
2020-04-22,57,False
2020-04-23,52,False
2020-04-24,64,False
2020-04-25,52,False
2020-04-26,57,False
2020-04-27,53,False
2020-04-28,44,False
2020-04-29,56,False
2020-04-30,40,False
2020-05-01,55,False
2020-05-02,53,False
2020-05-03,61,False
2020-05-04,48,False
