date,cough,isPartial
2020-03-26,100,False
2020-03-27,77,False
2020-03-28,82,False
2020-03-29,73,False
2020-03-30,55,False
2020-03-31,52,False
2020-04-01,49,False
2020-04-02,54,False
2020-04-03,43,False
2020-04-04,48,False
2020-04-05,37,False
2020-04-06,40,False
2020-04-07,44,False
2020-04-08,38,False
2020-04-09,42,False
2020-04-10,47,False
2020-04-11,37,False
2020-04-12,33,False
2020-04-13,42,False
2020-04-14,32,False
2020-04-15,39,False
2020-04-16,35,False
2020-04-17,34,False
2020-04-18,37,False
2020-04-19,31,False
2020-04-20,40,False
2020-04-21,33,False
2020-04-22,27,False
2020-04-23,25,False
2020-04-24,31,False
2020-04-25,25,False
