date,cough,isPartial
2020-07-26,100,False
2020-07-27,87,False
2020-07-28,74,False
2020-07-29,79,False
2020-07-30,78,False
2020-07-31,89,False
2020-08-01,78,False
2020-08-02,71,False
2020-08-03,69,False
2020-08-04,68,False
2020-08-05,73,False
2020-08-06,65,False
2020-08-07,81,False
2020-08-08,62,False
2020-08-09,59,False
2020-08-10,66,False
2020-08-11,56,False
2020-08-12,54,False
2020-08-13,63,False
2020-08-14,53,False
2020-08-15,62,False
2020-08-16,53,False
2020-08-17,48,False
2020-08-18,61,False
2020-08-19,58,False
2020-08-20,60,False
2020-08-21,59,False
2020-08-22,56,False
2020-08-23,69,False
2020-08-24,54,False
2020-08-25,60,False
