date,cough,isPartial
2020-07-25,91,False
2020-07-26,100,False
2020-07-27,88,False
2020-07-28,89,False
2020-07-29,82,False
2020-07-30,85,False
2020-07-31,96,False
2020-08-01,87,False
2020-08-02,77,False
2020-08-03,74,False
2020-08-04,75,False
2020-08-05,74,False
2020-08-06,69,False
2020-08-07,83,False
2020-08-08,68,False
2020-08-09,67,False
2020-08-10,63,False
2020-08-11,72,False
2020-08-12,56,False
2020-08-13,68,False
2020-08-14,53,False
2020-08-15,69,False
2020-08-16,73,False
2020-08-17,56,False
2020-08-18,60,False
2020-08-19,62,False
2020-08-20,61,False
2020-08-21,63,False
2020-08-22,55,False
2020-08-23,65,False
2020-08-24,55,False
