date,cough,isPartial
2020-11-04,51,False
2020-11-05,56,False
2020-11-06,48,False
2020-11-07,49,False
2020-11-08,44,False
2020-11-09,59,False
2020-11-10,46,False
2020-11-11,52,False
2020-11-12,53,False
2020-11-13,53,False
2020-11-14,53,False
2020-11-15,55,False
2020-11-16,55,False
2020-11-17,57,False
2020-11-18,67,False
2020-11-19,56,False
2020-11-20,48,False
2020-11-21,55,False
2020-11-22,77,False
2020-11-23,61,False
2020-11-24,72,False
2020-11-25,70,False
2020-11-26,56,False
2020-11-27,64,False
2020-11-28,80,False
2020-11-29,100,False
2020-11-30,66,False
2020-12-01,66,False
2020-12-02,84,False
2020-12-03,71,False
2020-12-04,64,False
