date,cough,isPartial
2020-05-22,76,False
2020-05-23,83,False
2020-05-24,71,False
2020-05-25,65,False
2020-05-26,71,False
2020-05-27,52,False
2020-05-28,86,False
2020-05-29,59,False
2020-05-30,53,False
2020-05-31,56,False
2020-06-01,71,False
2020-06-02,81,False
2020-06-03,78,False
2020-06-04,81,False
2020-06-05,62,False
2020-06-06,85,False
2020-06-07,60,False
2020-06-08,81,False
2020-06-09,62,False
2020-06-10,56,False
2020-06-11,74,False
2020-06-12,60,False
2020-06-13,87,False
2020-06-14,70,False
2020-06-15,85,False
2020-06-16,77,False
2020-06-17,68,False
2020-06-18,55,False
2020-06-19,81,False
2020-06-20,86,False
2020-06-21,100,False
