date,cough,isPartial
2020-11-30,72,False
2020-12-01,65,False
2020-12-02,89,False
2020-12-03,65,False
2020-12-04,69,False
2020-12-05,87,False
2020-12-06,80,False
2020-12-07,72,False
2020-12-08,94,False
2020-12-09,83,False
2020-12-10,81,False
2020-12-11,56,False
2020-12-12,56,False
2020-12-13,55,False
2020-12-14,80,False
2020-12-15,72,False
2020-12-16,74,False
2020-12-17,65,False
2020-12-18,51,False
2020-12-19,67,False
2020-12-20,79,False
2020-12-21,55,False
2020-12-22,71,False
2020-12-23,68,False
2020-12-24,78,False
2020-12-25,70,False
2020-12-26,83,False
2020-12-27,100,False
2020-12-28,85,False
2020-12-29,80,False
2020-12-30,61,False
