date,cough,isPartial
2021-01-01,93,False
2021-01-02,100,False
2021-01-03,83,False
2021-01-04,72,False
2021-01-05,83,False
2021-01-06,85,False
2021-01-07,70,False
2021-01-08,81,False
2021-01-09,93,False
2021-01-10,96,False
2021-01-11,62,False
2021-01-12,78,False
2021-01-13,65,False
2021-01-14,77,False
2021-01-15,82,False
2021-01-16,81,False
2021-01-17,94,False
2021-01-18,77,False
2021-01-19,84,False
2021-01-20,84,False
2021-01-21,72,False
2021-01-22,76,False
2021-01-23,88,False
2021-01-24,88,False
2021-01-25,65,False
2021-01-26,83,False
2021-01-27,78,False
2021-01-28,83,False
2021-01-29,81,False
2021-01-30,64,False
2021-01-31,75,False
