date,cough,isPartial
2020-10-21,89,False
2020-10-22,87,False
2020-10-23,80,False
2020-10-24,85,False
2020-10-25,91,False
2020-10-26,78,False
2020-10-27,90,False
2020-10-28,78,False
2020-10-29,77,False
2020-10-30,83,False
2020-10-31,87,False
2020-11-01,84,False
2020-11-02,79,False
2020-11-03,74,False
2020-11-04,76,False
2020-11-05,84,False
2020-11-06,71,False
2020-11-07,73,False
2020-11-08,67,False
2020-11-09,88,False
2020-11-10,69,False
2020-11-11,78,False
2020-11-12,79,False
2020-11-13,79,False
2020-11-14,79,False
2020-11-15,82,False
2020-11-16,83,False
2020-11-17,85,False
2020-11-18,100,False
2020-11-19,84,False
2020-11-20,73,False
