date,cough,isPartial
2020-10-02,58,False
2020-10-03,77,False
2020-10-04,100,False
2020-10-05,80,False
2020-10-06,62,False
2020-10-07,90,False
2020-10-08,57,False
2020-10-09,90,False
2020-10-10,86,False
2020-10-11,76,False
2020-10-12,64,False
2020-10-13,79,False
2020-10-14,62,False
2020-10-15,59,False
2020-10-16,74,False
2020-10-17,74,False
2020-10-18,77,False
2020-10-19,85,False
2020-10-20,84,False
2020-10-21,87,False
2020-10-22,88,False
2020-10-23,76,False
2020-10-24,77,False
2020-10-25,91,False
2020-10-26,69,False
2020-10-27,85,False
2020-10-28,74,False
2020-10-29,74,False
2020-10-30,68,False
2020-10-31,84,False
2020-11-01,77,False
