date,cough,isPartial
2020-08-01,100,False
2020-08-02,89,False
2020-08-03,84,False
2020-08-04,86,False
2020-08-05,85,False
2020-08-06,79,False
2020-08-07,95,False
2020-08-08,78,False
2020-08-09,77,False
2020-08-10,72,False
2020-08-11,83,False
2020-08-12,65,False
2020-08-13,79,False
2020-08-14,60,False
2020-08-15,79,False
2020-08-16,84,False
2020-08-17,64,False
2020-08-18,68,False
2020-08-19,71,False
2020-08-20,70,False
2020-08-21,72,False
2020-08-22,63,False
2020-08-23,75,False
2020-08-24,63,False
2020-08-25,73,False
2020-08-26,61,False
2020-08-27,61,False
2020-08-28,68,False
2020-08-29,80,False
2020-08-30,64,False
2020-08-31,56,False
