date,cough,isPartial
2020-06-08,56,False
2020-06-09,41,False
2020-06-10,46,False
2020-06-11,49,False
2020-06-12,47,False
2020-06-13,60,False
2020-06-14,47,False
2020-06-15,57,False
2020-06-16,57,False
2020-06-17,46,False
2020-06-18,45,False
2020-06-19,58,False
2020-06-20,61,False
2020-06-21,67,False
2020-06-22,58,False
2020-06-23,61,False
2020-06-24,75,False
2020-06-25,94,False
2020-06-26,62,False
2020-06-27,81,False
2020-06-28,76,False
2020-06-29,76,False
2020-06-30,67,False
2020-07-01,76,False
2020-07-02,91,False
2020-07-03,71,False
2020-07-04,78,False
2020-07-05,100,False
2020-07-06,88,False
2020-07-07,87,False
2020-07-08,91,False
