date,cough,isPartial
2021-01-05,87,False
2021-01-06,88,False
2021-01-07,73,False
2021-01-08,85,False
2021-01-09,97,False
2021-01-10,100,False
2021-01-11,64,False
2021-01-12,82,False
2021-01-13,68,False
2021-01-14,81,False
2021-01-15,86,False
2021-01-16,84,False
2021-01-17,99,False
2021-01-18,80,False
2021-01-19,88,False
2021-01-20,87,False
2021-01-21,75,False
2021-01-22,79,False
2021-01-23,92,False
2021-01-24,92,False
2021-01-25,67,False
2021-01-26,87,False
2021-01-27,82,False
2021-01-28,87,False
2021-01-29,85,False
2021-01-30,67,False
2021-01-31,78,False
2021-02-01,74,False
2021-02-02,85,False
2021-02-03,89,False
2021-02-04,74,False
