date,lagnat,isPartial
2020-07-07,58,False
2020-07-08,0,False
2020-07-09,89,False
2020-07-10,65,False
2020-07-11,64,False
2020-07-12,73,False
2020-07-13,61,False
2020-07-14,52,False
2020-07-15,71,False
2020-07-16,70,False
2020-07-17,0,False
2020-07-18,59,False
2020-07-19,87,False
2020-07-20,0,False
2020-07-21,51,False
2020-07-22,65,False
2020-07-23,58,False
2020-07-24,63,False
2020-07-25,0,False
2020-07-26,0,False
2020-07-27,0,False
2020-07-28,100,False
2020-07-29,90,False
2020-07-30,0,False
2020-07-31,61,False
2020-08-01,0,False
2020-08-02,0,False
2020-08-03,52,False
2020-08-04,0,False
2020-08-05,58,False
2020-08-06,57,False
