date,lagnat,isPartial
2020-03-31,0,False
2020-04-01,57,False
2020-04-02,80,False
2020-04-03,62,False
2020-04-04,0,False
2020-04-05,0,False
2020-04-06,100,False
2020-04-07,0,False
2020-04-08,63,False
2020-04-09,0,False
2020-04-10,58,False
2020-04-11,0,False
2020-04-12,76,False
2020-04-13,0,False
2020-04-14,0,False
2020-04-15,0,False
2020-04-16,0,False
2020-04-17,0,False
2020-04-18,62,False
2020-04-19,90,False
2020-04-20,71,False
2020-04-21,0,False
2020-04-22,76,False
2020-04-23,0,False
2020-04-24,0,False
2020-04-25,68,False
2020-04-26,0,False
2020-04-27,0,False
2020-04-28,0,False
2020-04-29,0,False
2020-04-30,71,False
