date,clustering_coefficient
2020-03-30,0.45494505494505494
2020-03-31,0.5714285714285714
2020-04-01,0.49230769230769234
2020-04-02,0.47692307692307695
2020-04-03,0.3868131868131868
2020-04-04,0.4043956043956044
2020-04-05,0.5626373626373626
2020-04-06,0.5252747252747253
2020-04-07,0.49230769230769234
2020-04-08,0.43736263736263736
2020-04-09,0.4857142857142857
2020-04-10,0.3208791208791209
2020-04-11,0.2725274725274725
2020-04-12,0.2703296703296703
2020-04-13,0.18461538461538463
2020-04-14,0.23076923076923078
2020-04-15,0.2571428571428571
2020-04-16,0.2087912087912088
2020-04-17,0.13626373626373625
2020-04-18,0.21318681318681318
2020-04-19,0.1912087912087912
2020-04-20,0.1978021978021978
2020-04-21,0.18461538461538463
2020-04-22,0.16703296703296702
2020-04-23,0.2703296703296703
2020-04-24,0.2681318681318681
2020-04-25,0.2989010989010989
2020-04-26,0.1912087912087912
2020-04-27,0.21978021978021978
2020-04-28,0.2043956043956044
2020-04-29,0.26373626373626374
2020-04-30,0.210989010989011
2020-05-01,0.22197802197802197
2020-05-02,0.18021978021978022
2020-05-03,0.2087912087912088
2020-05-04,0.23076923076923078
2020-05-05,0.23516483516483516
2020-05-06,0.17802197802197803
2020-05-07,0.210989010989011
2020-05-08,0.16483516483516483
2020-05-09,0.11428571428571428
2020-05-10,0.1076923076923077
2020-05-11,0.1054945054945055
2020-05-12,0.0967032967032967
2020-05-13,0.1010989010989011
2020-05-14,0.15604395604395604
2020-05-15,0.15164835164835164
2020-05-16,0.13186813186813187
2020-05-17,0.15384615384615385
2020-05-18,0.25054945054945055
2020-05-19,0.3274725274725275
2020-05-20,0.37142857142857144
2020-05-21,0.3054945054945055
2020-05-22,0.3054945054945055
2020-05-23,0.3120879120879121
2020-05-24,0.2945054945054945
2020-05-25,0.2835164835164835
2020-05-26,0.16043956043956045
2020-05-27,0.17142857142857143
2020-05-28,0.17582417582417584
2020-05-29,0.14285714285714285
2020-05-30,0.14505494505494507
2020-05-31,0.15604395604395604
2020-06-01,0.13626373626373625
2020-06-02,0.15824175824175823
2020-06-03,0.12527472527472527
2020-06-04,0.14065934065934066
2020-06-05,0.0945054945054945
2020-06-06,0.1076923076923077
2020-06-07,0.1076923076923077
2020-06-08,0.0945054945054945
2020-06-09,0.1010989010989011
2020-06-10,0.14725274725274726
2020-06-11,0.14505494505494507
2020-06-12,0.17142857142857143
2020-06-13,0.1956043956043956
2020-06-14,0.2153846153846154
2020-06-15,0.15164835164835164
2020-06-16,0.14285714285714285
2020-06-17,0.14065934065934066
2020-06-18,0.13406593406593406
2020-06-19,0.14505494505494507
2020-06-20,0.14945054945054945
2020-06-21,0.14065934065934066
2020-06-22,0.13626373626373625
2020-06-23,0.1824175824175824
2020-06-24,0.10329670329670329
2020-06-25,0.12967032967032968
2020-06-26,0.12527472527472527
2020-06-27,0.17582417582417584
2020-06-28,0.17582417582417584
2020-06-29,0.14505494505494507
2020-06-30,0.08571428571428572
2020-07-01,0.08571428571428572
2020-07-02,0.15824175824175823
2020-07-03,0.16043956043956045
2020-07-04,0.15824175824175823
2020-07-05,0.15164835164835164
2020-07-06,0.16043956043956045
2020-07-07,0.1824175824175824
2020-07-08,0.14725274725274726
2020-07-09,0.1956043956043956
2020-07-10,0.16923076923076924
2020-07-11,0.16043956043956045
2020-07-12,0.18021978021978022
2020-07-13,0.26593406593406593
2020-07-14,0.189010989010989
2020-07-15,0.17142857142857143
2020-07-16,0.12747252747252746
2020-07-17,0.11428571428571428
2020-07-18,0.10329670329670329
2020-07-19,0.1054945054945055
2020-07-20,0.09230769230769231
2020-07-21,0.09010989010989011
2020-07-22,0.08791208791208792
2020-07-23,0.11428571428571428
2020-07-24,0.09010989010989011
2020-07-25,0.09230769230769231
2020-07-26,0.07692307692307693
2020-07-27,0.07252747252747253
2020-07-28,0.06593406593406594
2020-07-29,0.08571428571428572
2020-07-30,0.13186813186813187
2020-07-31,0.2175824175824176
2020-08-01,0.2923076923076923
2020-08-02,0.17142857142857143
2020-08-03,0.18021978021978022
2020-08-04,0.1978021978021978
2020-08-05,0.189010989010989
2020-08-06,0.15384615384615385
2020-08-07,0.17362637362637362
2020-08-08,0.16263736263736264
2020-08-09,0.12087912087912088
2020-08-10,0.15384615384615385
2020-08-11,0.16923076923076924
2020-08-12,0.2043956043956044
2020-08-13,0.25054945054945055
2020-08-14,0.2703296703296703
2020-08-15,0.210989010989011
2020-08-16,0.10989010989010989
2020-08-17,0.10329670329670329
2020-08-18,0.210989010989011
2020-08-19,0.1978021978021978
2020-08-20,0.22637362637362637
2020-08-21,0.18021978021978022
2020-08-22,0.14945054945054945
2020-08-23,0.13846153846153847
2020-08-24,0.12087912087912088
2020-08-25,0.12747252747252746
2020-08-26,0.15164835164835164
2020-08-27,0.0945054945054945
2020-08-28,0.15384615384615385
2020-08-29,0.12527472527472527
2020-08-30,0.10989010989010989
2020-08-31,0.13186813186813187
2020-09-01,0.08791208791208792
2020-09-02,0.08351648351648351
2020-09-03,0.14945054945054945
2020-09-04,0.16923076923076924
2020-09-05,0.15604395604395604
2020-09-06,0.07912087912087912
2020-09-07,0.12747252747252746
2020-09-08,0.12527472527472527
2020-09-09,0.15604395604395604
2020-09-10,0.15164835164835164
2020-09-11,0.210989010989011
2020-09-12,0.13846153846153847
2020-09-13,0.2175824175824176
2020-09-14,0.16923076923076924
2020-09-15,0.12087912087912088
2020-09-16,0.15164835164835164
2020-09-17,0.12747252747252746
2020-09-18,0.17802197802197803
2020-09-19,0.26153846153846155
