date,headache,isPartial
2020-11-05,59,False
2020-11-06,69,False
2020-11-07,92,False
2020-11-08,85,False
2020-11-09,61,False
2020-11-10,57,False
2020-11-11,80,False
2020-11-12,100,False
2020-11-13,53,False
2020-11-14,65,False
2020-11-15,78,False
2020-11-16,72,False
2020-11-17,71,False
2020-11-18,73,False
2020-11-19,67,False
2020-11-20,70,False
2020-11-21,84,False
2020-11-22,99,False
2020-11-23,89,False
2020-11-24,61,False
2020-11-25,59,False
2020-11-26,47,False
2020-11-27,65,False
2020-11-28,73,False
2020-11-29,67,False
2020-11-30,81,False
2020-12-01,57,False
2020-12-02,66,False
2020-12-03,65,False
2020-12-04,57,False
2020-12-05,89,False
