date,headache,isPartial
2020-06-24,66,False
2020-06-25,76,False
2020-06-26,62,False
2020-06-27,77,False
2020-06-28,77,False
2020-06-29,55,False
2020-06-30,64,False
2020-07-01,65,False
2020-07-02,70,False
2020-07-03,61,False
2020-07-04,62,False
2020-07-05,90,False
2020-07-06,87,False
2020-07-07,72,False
2020-07-08,79,False
2020-07-09,73,False
2020-07-10,80,False
2020-07-11,65,False
2020-07-12,100,False
2020-07-13,73,False
2020-07-14,68,False
2020-07-15,86,False
2020-07-16,83,False
2020-07-17,69,False
2020-07-18,77,False
2020-07-19,88,False
2020-07-20,86,False
2020-07-21,71,False
2020-07-22,92,False
2020-07-23,96,False
2020-07-24,88,False
