date,headache,isPartial
2020-12-15,64,False
2020-12-16,73,False
2020-12-17,77,False
2020-12-18,67,False
2020-12-19,64,False
2020-12-20,100,False
2020-12-21,71,False
2020-12-22,46,False
2020-12-23,78,False
2020-12-24,92,False
2020-12-25,70,False
2020-12-26,59,False
2020-12-27,59,False
2020-12-28,94,False
2020-12-29,83,False
2020-12-30,79,False
2020-12-31,78,False
2021-01-01,99,False
2021-01-02,66,False
2021-01-03,74,False
2021-01-04,79,False
2021-01-05,71,False
2021-01-06,74,False
2021-01-07,80,False
2021-01-08,61,False
2021-01-09,77,False
2021-01-10,95,False
2021-01-11,86,False
2021-01-12,76,False
2021-01-13,66,False
2021-01-14,73,False
