date,headache,isPartial
2020-11-21,95,False
2020-11-22,100,False
2020-11-23,85,False
2020-11-24,61,False
2020-11-25,61,False
2020-11-26,50,False
2020-11-27,68,False
2020-11-28,58,False
2020-11-29,63,False
2020-11-30,80,False
2020-12-01,58,False
2020-12-02,66,False
2020-12-03,68,False
2020-12-04,56,False
2020-12-05,82,False
2020-12-06,80,False
2020-12-07,74,False
2020-12-08,67,False
2020-12-09,69,False
2020-12-10,65,False
2020-12-11,78,False
2020-12-12,73,False
2020-12-13,60,False
2020-12-14,71,False
2020-12-15,68,False
2020-12-16,57,False
2020-12-17,74,False
2020-12-18,65,False
2020-12-19,61,False
2020-12-20,79,False
2020-12-21,71,False
