date,headache,isPartial
2020-06-26,67,False
2020-06-27,87,False
2020-06-28,83,False
2020-06-29,49,False
2020-06-30,69,False
2020-07-01,67,False
2020-07-02,74,False
2020-07-03,61,False
2020-07-04,73,False
2020-07-05,90,False
2020-07-06,94,False
2020-07-07,79,False
2020-07-08,69,False
2020-07-09,84,False
2020-07-10,75,False
2020-07-11,77,False
2020-07-12,99,False
2020-07-13,78,False
2020-07-14,68,False
2020-07-15,85,False
2020-07-16,81,False
2020-07-17,75,False
2020-07-18,78,False
2020-07-19,86,False
2020-07-20,85,False
2020-07-21,81,False
2020-07-22,98,False
2020-07-23,100,False
2020-07-24,93,False
2020-07-25,89,False
2020-07-26,90,False
