date,headache,isPartial
2020-07-20,87,False
2020-07-21,84,False
2020-07-22,100,False
2020-07-23,97,False
2020-07-24,89,False
2020-07-25,92,False
2020-07-26,80,False
2020-07-27,87,False
2020-07-28,77,False
2020-07-29,91,False
2020-07-30,75,False
2020-07-31,59,False
2020-08-01,78,False
2020-08-02,95,False
2020-08-03,84,False
2020-08-04,70,False
2020-08-05,79,False
2020-08-06,69,False
2020-08-07,58,False
2020-08-08,82,False
2020-08-09,79,False
2020-08-10,81,False
2020-08-11,69,False
2020-08-12,82,False
2020-08-13,84,False
2020-08-14,69,False
2020-08-15,68,False
2020-08-16,77,False
2020-08-17,77,False
2020-08-18,71,False
2020-08-19,65,False
