date,headache,isPartial
2020-05-07,77,False
2020-05-08,82,False
2020-05-09,100,False
2020-05-10,64,False
2020-05-11,82,False
2020-05-12,76,False
2020-05-13,79,False
2020-05-14,67,False
2020-05-15,74,False
2020-05-16,94,False
2020-05-17,86,False
2020-05-18,98,False
2020-05-19,54,False
2020-05-20,84,False
2020-05-21,67,False
2020-05-22,82,False
2020-05-23,79,False
2020-05-24,74,False
2020-05-25,91,False
2020-05-26,98,False
2020-05-27,90,False
2020-05-28,79,False
2020-05-29,86,False
2020-05-30,84,False
2020-05-31,97,False
2020-06-01,90,False
2020-06-02,67,False
2020-06-03,79,False
2020-06-04,74,False
2020-06-05,78,False
2020-06-06,91,False
