date,headache,isPartial
2021-01-08,63,False
2021-01-09,80,False
2021-01-10,99,False
2021-01-11,88,False
2021-01-12,79,False
2021-01-13,69,False
2021-01-14,75,False
2021-01-15,81,False
2021-01-16,64,False
2021-01-17,79,False
2021-01-18,92,False
2021-01-19,75,False
2021-01-20,69,False
2021-01-21,75,False
2021-01-22,88,False
2021-01-23,86,False
2021-01-24,79,False
2021-01-25,71,False
2021-01-26,83,False
2021-01-27,77,False
2021-01-28,100,False
2021-01-29,73,False
2021-01-30,79,False
2021-01-31,73,False
2021-02-01,78,False
2021-02-02,76,False
2021-02-03,66,False
2021-02-04,56,False
2021-02-05,66,False
2021-02-06,83,False
2021-02-07,84,False
