date,headache,isPartial
2020-04-22,87,False
2020-04-23,88,False
2020-04-24,87,False
2020-04-25,100,False
2020-04-26,89,False
2020-04-27,90,False
2020-04-28,99,False
2020-04-29,88,False
2020-04-30,79,False
2020-05-01,90,False
2020-05-02,92,False
2020-05-03,80,False
2020-05-04,69,False
2020-05-05,73,False
2020-05-06,76,False
2020-05-07,74,False
2020-05-08,78,False
2020-05-09,95,False
2020-05-10,61,False
2020-05-11,78,False
2020-05-12,73,False
2020-05-13,76,False
2020-05-14,64,False
2020-05-15,70,False
2020-05-16,90,False
2020-05-17,82,False
2020-05-18,93,False
2020-05-19,51,False
2020-05-20,80,False
2020-05-21,64,False
2020-05-22,78,False
