date,headache,isPartial
2021-01-20,69,False
2021-01-21,75,False
2021-01-22,88,False
2021-01-23,86,False
2021-01-24,79,False
2021-01-25,71,False
2021-01-26,83,False
2021-01-27,77,False
2021-01-28,100,False
2021-01-29,73,False
2021-01-30,79,False
2021-01-31,73,False
2021-02-01,78,False
2021-02-02,76,False
2021-02-03,66,False
2021-02-04,56,False
2021-02-05,66,False
2021-02-06,83,False
2021-02-07,84,False
2021-02-08,77,False
2021-02-09,67,False
2021-02-10,66,False
2021-02-11,84,False
2021-02-12,68,False
2021-02-13,77,False
2021-02-14,77,False
2021-02-15,69,False
2021-02-16,67,False
2021-02-17,75,False
2021-02-18,77,False
2021-02-19,58,False
