date,headache,isPartial
2020-06-04,78,False
2020-06-05,81,False
2020-06-06,95,False
2020-06-07,91,False
2020-06-08,87,False
2020-06-09,68,False
2020-06-10,72,False
2020-06-11,74,False
2020-06-12,86,False
2020-06-13,89,False
2020-06-14,89,False
2020-06-15,68,False
2020-06-16,73,False
2020-06-17,79,False
2020-06-18,64,False
2020-06-19,53,False
2020-06-20,91,False
2020-06-21,83,False
2020-06-22,98,False
2020-06-23,69,False
2020-06-24,85,False
2020-06-25,98,False
2020-06-26,80,False
2020-06-27,100,False
2020-06-28,100,False
2020-06-29,71,False
2020-06-30,83,False
2020-07-01,84,False
2020-07-02,90,False
2020-07-03,79,False
2020-07-04,80,False
