date,headache,isPartial
2021-01-22,97,False
2021-01-23,85,False
2021-01-24,79,False
2021-01-25,79,False
2021-01-26,82,False
2021-01-27,83,False
2021-01-28,92,False
2021-01-29,73,False
2021-01-30,87,False
2021-01-31,81,False
2021-02-01,77,False
2021-02-02,80,False
2021-02-03,61,False
2021-02-04,53,False
2021-02-05,66,False
2021-02-06,77,False
2021-02-07,77,False
2021-02-08,89,False
2021-02-09,69,False
2021-02-10,65,False
2021-02-11,88,False
2021-02-12,76,False
2021-02-13,73,False
2021-02-14,100,False
2021-02-15,70,False
2021-02-16,67,False
2021-02-17,71,False
2021-02-18,68,False
2021-02-19,51,False
2021-02-20,85,False
2021-02-21,99,False
