date,headache,isPartial
2020-07-27,87,False
2020-07-28,81,False
2020-07-29,100,False
2020-07-30,77,False
2020-07-31,62,False
2020-08-01,83,False
2020-08-02,89,False
2020-08-03,79,False
2020-08-04,79,False
2020-08-05,80,False
2020-08-06,87,False
2020-08-07,63,False
2020-08-08,88,False
2020-08-09,78,False
2020-08-10,82,False
2020-08-11,75,False
2020-08-12,98,False
2020-08-13,87,False
2020-08-14,67,False
2020-08-15,71,False
2020-08-16,83,False
2020-08-17,76,False
2020-08-18,75,False
2020-08-19,69,False
2020-08-20,68,False
2020-08-21,80,False
2020-08-22,86,False
2020-08-23,80,False
2020-08-24,77,False
2020-08-25,76,False
2020-08-26,80,False
