date,headache,isPartial
2020-12-31,79,False
2021-01-01,100,False
2021-01-02,67,False
2021-01-03,75,False
2021-01-04,80,False
2021-01-05,72,False
2021-01-06,75,False
2021-01-07,81,False
2021-01-08,62,False
2021-01-09,78,False
2021-01-10,96,False
2021-01-11,87,False
2021-01-12,77,False
2021-01-13,67,False
2021-01-14,74,False
2021-01-15,80,False
2021-01-16,62,False
2021-01-17,77,False
2021-01-18,90,False
2021-01-19,74,False
2021-01-20,68,False
2021-01-21,74,False
2021-01-22,86,False
2021-01-23,84,False
2021-01-24,77,False
2021-01-25,70,False
2021-01-26,81,False
2021-01-27,76,False
2021-01-28,98,False
2021-01-29,71,False
2021-01-30,78,False
