,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,0.9999999999999977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cough,0.5512487536742582,1.0000000000000169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fever,0.7342916620600036,0.4132352508532556,0.9999999999999871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headache,0.5027047270648286,0.40131512017563103,0.5410894980943303,1.0000000000000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagnat,0.29565617840994396,0.1932375197170831,0.16272716532080225,0.24926576643995213,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashes,0.535522378738186,0.5339824403128786,0.6247563684214051,0.5103879364291324,0.1870233744554433,1.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipon,0.39435079566256626,0.4500828043747147,0.34216844025375304,0.36735526064091445,0.17502257268331767,0.41447165593390733,1.0000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubo,0.20397695512807174,0.2053509921286549,0.23538110919840283,0.1641433238553657,0.174043175553662,0.2777911769013581,0.25536778469453897,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecq,0.5856893988305395,0.5243351756874686,0.5431399775910232,0.2520337318092086,0.1853982114327181,0.2832050872164685,0.2666043321740563,0.2896713604884907,0.9999999999999978,0.0,0.0,0.0,0.0,0.0,0.0
face shield,0.7796013709477813,0.6117572713167916,0.7401593606751607,0.4600902831978432,0.2284175042886696,0.4015217286380381,0.4038316618158847,0.217791731373844,0.7610296424544836,1.0000000000000004,0.0,0.0,0.0,0.0,0.0
Frontliners,0.26680602646730495,0.2519573993174937,0.2877633282301688,0.48341417170353207,0.21226217656518626,0.30825692127346316,0.28713332106819817,0.3302412177936779,0.26840175763517427,0.33995918535706915,1.0000000000000029,0.0,0.0,0.0,0.0
masks,0.2659381786146268,0.2623646512264303,0.4116791953623796,0.4477675991145745,0.1921752374170728,0.40513870953618913,0.3654804201485964,0.26508359921650193,0.41108216574880535,0.30350094476426936,0.288057063521205,1.0,0.0,0.0,0.0
Quarantine,0.6003699255717924,0.4544886616613378,0.6009895884901575,0.26576200076108314,0.17629348850205456,0.37874061553796573,0.2548906753868378,0.3535444569178203,0.907958530696392,0.7155156471520682,0.34205765106116803,0.3257906597321888,0.999999999999999,0.0,0.0
social distancing,0.2531567191804446,0.17682769901856027,0.3085677140374876,0.2156807969744001,0.17474388592211024,0.25357257856360316,0.3405030555699865,0.21056620066062565,0.2444045234409756,0.16618749977721178,0.20172149926620614,0.3946104846807975,0.24138304598110386,1.0000000000000002,0.0
work from home,0.23168654512886983,0.3455147594822974,0.2079940217055877,0.32821489216888683,0.18553611843096923,0.39114445644868007,0.34136959900606134,0.2305597471198087,0.2504695498964548,0.21223853144460145,0.22410991066472222,0.3274518713413522,0.21784016758555547,0.1817114013821225,1.0000000000000098
