,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,0.999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cough,0.2608601353420793,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fever,0.342335400882692,0.5162829328089374,1.0000000000000069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headache,0.44202153489724655,0.30356087947056976,0.405034566608191,0.9999999999999859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagnat,0.22847159841575362,0.23420508536165155,0.2364313365738391,0.2036615567320498,0.9999999999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashes,0.3754872471346035,0.3011999192070656,0.2957212478812482,0.3184082753294956,0.20260205613556706,0.999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipon,0.23693161351680214,0.4451257150141583,0.40793147814098635,0.23911763061142124,0.15768916735455893,0.2651883594326867,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubo,0.3818499829018006,0.2483558764286042,0.3575388717582159,0.2438001930119721,0.12376006466431538,0.23627945943462964,0.44146160953055585,0.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecq,0.5038073898682974,0.3589944258164381,0.3411159308065312,0.3067722070761598,0.20482814836121663,0.391886557286498,0.3070874409538358,0.2787466651074294,0.9999999999999984,0.0,0.0,0.0,0.0,0.0,0.0
face shield,0.32206764478585975,0.39136200543212873,0.4321826821961892,0.2493330120862975,0.2241101133463219,0.3391316958996937,0.32716122770849304,0.352767864743496,0.270607641405204,1.0000000000000042,0.0,0.0,0.0,0.0,0.0
Frontliners,0.3550539377660196,0.26518776279932765,0.35709404743222845,0.4621897102605003,0.2294137313807213,0.24535209818735937,0.167991056374153,0.3712957187698188,0.2576581775715723,0.38996167324817993,0.9999999999999994,0.0,0.0,0.0,0.0
masks,0.2691961228725937,0.30848000528077746,0.3067410089042747,0.2944127125371852,0.21637339182024498,0.2617151377051717,0.2072121907910483,0.24572456897842465,0.3290972016388294,0.30491002772079245,0.23674351844327157,0.9999999999999912,0.0,0.0,0.0
Quarantine,0.4720838338074075,0.41634003088234073,0.41281799736492614,0.3339561838720011,0.19550483641766866,0.29862441911095144,0.47027072959072935,0.5586848433352553,0.5665845937951415,0.28554752058074867,0.2990481502181426,0.41333629984742193,1.0000000000000044,0.0,0.0
social distancing,0.25412345377995915,0.4604120766219015,0.44741519466896273,0.21850610720534047,0.27649966517987645,0.3612803694230766,0.6218082812727448,0.44853872583808274,0.3217175022953708,0.26512314750436705,0.32185415742014034,0.2780981388405562,0.4906740986939574,0.9999999999999988,0.0
work from home,0.28097615936043924,0.3493828141608765,0.2704683491728052,0.30165602520219237,0.19554672076262528,0.4057646184492639,0.4307873667362085,0.4086264773870463,0.27733467945272333,0.330691103677468,0.40244404151041774,0.26673755725478754,0.3928631285935647,0.5373155343301798,1.0
