,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,1.0000000000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cough,0.5253272266074713,1.0000000000000129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fever,0.7722434716451089,0.40240919302645123,0.9999999999999675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headache,0.35201177662866656,0.36071114527253917,0.4311811992468024,1.0000000000000109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagnat,0.3296272310885765,0.23625128407837606,0.17104820587753847,0.3229858036371453,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashes,0.4873373788773764,0.49502934942944143,0.5745473596519589,0.3869986061383677,0.20384115491196764,1.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipon,0.35952610807727725,0.4067685811406761,0.31377333212519254,0.34746525037940357,0.16485471439640254,0.4036298276643501,0.9999999999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubo,0.2470830227410188,0.2131052203952492,0.20387494527638306,0.1966444458716544,0.17314218353773925,0.3070607711476937,0.3064662598934934,0.9999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecq,0.6431506164590728,0.5129165395569795,0.5887891474512341,0.24086478707380599,0.18103304695169284,0.2906953346412481,0.2326169480782821,0.2596121249354397,0.9999999999999978,0.0,0.0,0.0,0.0,0.0,0.0
face shield,0.7955094343732501,0.540791219814157,0.7419143222839116,0.30798535399487664,0.22539352231583099,0.42040166417107755,0.36424177033618327,0.15703973999704865,0.8031820028401964,1.0,0.0,0.0,0.0,0.0,0.0
Frontliners,0.2591661234314056,0.2132315391677777,0.25405662150623437,0.49101357396763545,0.2292205695398116,0.4185078298892256,0.30988335793274246,0.26525285299901835,0.24884938088767444,0.3276503791721739,1.0000000000000016,0.0,0.0,0.0,0.0
masks,0.34179583231351934,0.22957886437016273,0.36721231505179186,0.3924774521331707,0.1930251422710219,0.33771078454776077,0.3773647106499716,0.2826632392956416,0.4871005186141426,0.44480548412476034,0.31578846994585225,0.999999999999998,0.0,0.0,0.0
Quarantine,0.5596481789403931,0.44850668552018325,0.5601549310346025,0.19768576457461634,0.154267867478722,0.3176246070563509,0.22224901411852105,0.3437848796033012,0.8479067781450729,0.5958831299623634,0.2880491454147941,0.31802346216577976,0.9999999999999982,0.0,0.0
social distancing,0.21419349096780932,0.16808283675334557,0.2039080906313733,0.2678254954406932,0.18869011147187398,0.20352295600710973,0.2661411898133152,0.32084165180896557,0.25059787240670856,0.15093455444385906,0.21312722252406255,0.2774015971029401,0.25437762418749904,0.9999999999999998,0.0
work from home,0.24900480942130787,0.41269314461306755,0.22092124712017763,0.3057630027124149,0.22637536149402443,0.4672997516998782,0.30543076566580885,0.2586758209786916,0.23130071048828735,0.20951152970472428,0.20998579575758397,0.3006375961361109,0.20169279152998126,0.1995421582766884,1.000000000000002
