,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,1.0000000000000053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cough,0.22621759502141697,1.0000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fever,0.3864137416308768,0.4565031133636047,1.0000000000000158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headache,0.297847241674513,0.34274228800399953,0.27616603915135096,0.9999999999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagnat,0.19842476177437937,0.18233707645763272,0.45673934591443893,0.186181571619678,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashes,0.44420359531245535,0.28425067299984647,0.38628572520822974,0.3829203161711105,0.19110671112705874,1.0000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipon,0.19610021101150643,0.3233703378564428,0.34272563560525815,0.28849165205959154,0.21492406992841273,0.3229044096065824,0.9999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubo,0.21582025801266488,0.3688330951840651,0.3177475699033181,0.2807162344781705,0.286799820927926,0.33739033624967935,0.3530552785335604,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecq,0.26560209318335437,0.31443832861458554,0.2917495242839018,0.3687219110534837,0.2790589662517614,0.39433586239798935,0.2226047547783181,0.2147180982486641,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
face shield,0.3684515102885516,0.2733567606415472,0.4445489028136695,0.39158251688034007,0.24028623156205678,0.36302760354100727,0.2800957798654233,0.22682836391430003,0.28943387507547924,1.0000000000000018,0.0,0.0,0.0,0.0,0.0
Frontliners,0.22746556814091193,0.3045069749175327,0.2609823758918678,0.24178098156319328,0.1837807768630456,0.20166086799388475,0.22550617735929981,0.3191016104600384,0.2712755653476687,0.20599659249142777,0.9999999999999992,0.0,0.0,0.0,0.0
masks,0.24042149537613342,0.34826164917918445,0.2827746096625451,0.3283871389966727,0.25030354324201004,0.3560304493203765,0.228238699449112,0.2990185018249444,0.25630423574388705,0.35669191051915705,0.26315868345301857,0.9999999999999982,0.0,0.0,0.0
Quarantine,0.2687555518542749,0.40039825650965055,0.5012651725420809,0.45017716040750205,0.18080704261333153,0.5320256761805844,0.30253503735320547,0.3310674228811169,0.6227245432983559,0.32582373516454805,0.23880759644281635,0.39729853444536256,0.9999999999999994,0.0,0.0
social distancing,0.2395467363825743,0.16655974720347758,0.17914929067748867,0.2645177234955419,0.16365276824393601,0.28145034152844883,0.18386152829166283,0.25701417266542226,0.18742838608810225,0.3524901611119432,0.37720347833167256,0.13166401219671386,0.31564390051258256,1.0000000000000004,0.0
work from home,0.4114122053086318,0.2579834629398793,0.4015197023274873,0.22318014064360628,0.15480079449374717,0.2790428818442203,0.3686194912759578,0.45082790899679104,0.2589148066834092,0.35129863630319885,0.4059926565558154,0.25285088658970906,0.29694694668502514,0.25216982876087174,0.9999999999999987
