,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,1.0000000000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cough,0.34568536730963867,1.0000000000000147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fever,0.4287074118533144,0.5331105885550288,1.0000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headache,0.4250338202598836,0.6447208939850053,0.49038696358391787,0.9999999999999979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagnat,0.21845360048174803,0.29279742875282194,0.31607917525488916,0.23975345084097188,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashes,0.32078113728857466,0.27211597965080947,0.3869808110358851,0.28080892495158144,0.25438898659348425,0.999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipon,0.3629749934477362,0.2910240582288297,0.2065346046047689,0.27121636501685914,0.23093381380370284,0.2420253943434444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubo,0.2853608126497491,0.2760926339296694,0.29100677053894036,0.31189614708299634,0.2157808288242709,0.2569348146585408,0.34478959053317926,1.0000000000000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecq,0.25684176170481154,0.2591035367161546,0.2445806706381281,0.2175222646243741,0.316922544443135,0.5159797700467419,0.326749275691086,0.383658157015744,0.9999999999999971,0.0,0.0,0.0,0.0,0.0,0.0
face shield,0.3267319910544061,0.2438146001386953,0.33469556349191254,0.23281688179267668,0.2415582092695401,0.33834145492127904,0.318065409384051,0.39274040612118366,0.3153624724247151,1.0000000000000078,0.0,0.0,0.0,0.0,0.0
Frontliners,0.2732935639743163,0.4130276083663662,0.45157764033987563,0.3934229999357617,0.15007639132171272,0.15860594356021104,0.21169484594909269,0.18219991343353076,0.2400049720874395,0.27119099075192615,0.9999999999999988,0.0,0.0,0.0,0.0
masks,0.3477494731600176,0.26753271900491155,0.45210298016766004,0.46086782494270767,0.26921040616940467,0.35949192900650595,0.35100889599893786,0.3097908892349915,0.3110325492647856,0.3065117378601627,0.2747513574407684,1.0000000000000113,0.0,0.0,0.0
Quarantine,0.27511228441548935,0.31102218967897727,0.2984602198493211,0.31993656868779635,0.3567114098001813,0.44402903733378424,0.3485442061999987,0.48365758208875076,0.7931169335609541,0.3107758678416026,0.3548723024645864,0.37116455411987564,1.0000000000000033,0.0,0.0
social distancing,0.27554720240410147,0.23087873388879468,0.22776516102289954,0.3334033664639192,0.22522607109991935,0.2645681112361191,0.2760303575328269,0.2493938593901682,0.27829741510306,0.32821429204588015,0.18281288871727713,0.28322972300292854,0.2783747209304888,1.000000000000001,0.0
work from home,0.24435272674992492,0.34426511734302845,0.4576750933057768,0.3333636213736954,0.2620901971157095,0.45407006695057567,0.29366436019105907,0.36424772921197557,0.5293319368895979,0.3777386155773791,0.2919990604926354,0.3799707211094333,0.4965269408994913,0.43286684180502805,1.0000000000000038
