,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,0.999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cough,0.3572147604742622,1.0000000000000064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fever,0.4527070398893049,0.45234656605493095,1.000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headache,0.31474639893620693,0.3363180318988798,0.32077382819150235,0.9999999999999954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagnat,0.17907871938002476,0.22561432570139864,0.34360164988304265,0.15838256529762787,1.0000000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashes,0.42591892941661813,0.33459232492683016,0.3143347539443914,0.38532634051195297,0.20100476273855916,0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipon,0.25102884241516926,0.4362719014385709,0.4164069422540128,0.32802529736553,0.2261022476572881,0.3343037481035298,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubo,0.24442262038049695,0.3233057789271931,0.29328628652534755,0.28325850135243225,0.29508565353950367,0.3627662616898772,0.3222361561288932,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecq,0.26560032373892334,0.27764031626596114,0.26987683615007557,0.3485810151333152,0.2750194426228318,0.4091246188939921,0.21892795640195523,0.2308702842528876,0.9999999999999992,0.0,0.0,0.0,0.0,0.0,0.0
face shield,0.3518920015961347,0.287650942045019,0.46724081308359433,0.39277005315581676,0.21252078908465954,0.4049450809799427,0.28290978147094886,0.23759729507264432,0.2821022362186951,0.9999999999999991,0.0,0.0,0.0,0.0,0.0
Frontliners,0.22984706933460974,0.34928594701515736,0.2627878925144908,0.19190102664284897,0.11334002108119133,0.19216806078897677,0.24032614641505495,0.31718864778494243,0.23044104481396777,0.19431260125217156,1.0000000000000002,0.0,0.0,0.0,0.0
masks,0.23552882739158448,0.3325312725792373,0.2588051878337223,0.3120680265329202,0.25883505427815706,0.34866733539175726,0.24098224178481142,0.29159613309465404,0.2728674119419217,0.3625883862160381,0.25778298075377765,1.0000000000000002,0.0,0.0,0.0
Quarantine,0.23903964342248546,0.3905028473717812,0.4814167258021587,0.4083896803490212,0.18728669181973143,0.5401174994201761,0.2850670249530751,0.3133701251189062,0.6318761852515788,0.3107015725710136,0.2432326207584404,0.394175354226831,0.9999999999999978,0.0,0.0
social distancing,0.21872548480032,0.18142377781420013,0.19163301377177483,0.30905646443896995,0.13583350522784976,0.27673797304876674,0.19742911718949693,0.2781752757398837,0.18199468608808797,0.3387837512371854,0.34569752303157747,0.1568716469321573,0.3043831522643388,0.9999999999999989,0.0
work from home,0.379493806374352,0.2533818418106462,0.4338759208053681,0.2285537262273827,0.1452245542136612,0.288280416032537,0.36999489535558155,0.434109650474379,0.28331214415744027,0.34658135803597784,0.4017204784590928,0.2526901663690716,0.2848787758686325,0.26877894017675785,0.9999999999999997
