date,Quarantine,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-03-16,100,2.0,200.0,100.0
2020-03-17,46,2.0,92.0,46.0
2020-03-18,38,2.0,76.0,38.0
2020-03-19,36,2.0,72.0,36.0
2020-03-20,39,2.0,78.0,39.0
2020-03-21,41,2.0,82.0,41.0
2020-03-22,39,2.067510548523207,80.63291139240506,40.31645569620253
2020-03-23,37,2.067510548523207,76.49789029535866,38.24894514767933
2020-03-24,35,2.067510548523207,72.36286919831224,36.18143459915612
2020-03-25,35,2.067510548523207,72.36286919831224,36.18143459915612
2020-03-26,36,2.067510548523207,74.43037974683544,37.21518987341772
2020-03-27,32,2.067510548523207,66.16033755274262,33.08016877637131
2020-03-28,23,2.067510548523207,47.552742616033754,23.776371308016877
2020-03-29,24,1.9361702127659577,46.468085106382986,23.234042553191493
2020-03-30,28,1.9361702127659577,54.21276595744681,27.10638297872341
2020-03-31,28,1.9361702127659577,54.21276595744681,27.10638297872341
2020-04-01,28,1.9361702127659577,54.21276595744681,27.10638297872341
2020-04-02,27,1.9361702127659577,52.276595744680854,26.138297872340427
2020-04-03,26,1.9361702127659577,50.3404255319149,25.17021276595745
2020-04-04,27,1.9361702127659577,52.276595744680854,26.138297872340427
2020-04-05,30,1.9352941176470588,58.05882352941177,29.02941176470588
2020-04-06,44,1.9352941176470588,85.15294117647059,42.576470588235296
2020-04-07,31,1.9352941176470588,59.99411764705882,29.99705882352941
2020-04-08,20,1.9352941176470588,38.705882352941174,19.352941176470587
2020-04-09,15,1.9352941176470588,29.029411764705884,14.51470588235294
2020-04-10,14,1.9352941176470588,27.094117647058823,13.547058823529412
2020-04-11,16,1.9352941176470588,30.96470588235294,15.482352941176469
2020-04-12,16,1.605095541401274,25.681528662420384,12.840764331210192
2020-04-13,21,1.605095541401274,33.70700636942675,16.853503184713375
2020-04-14,20,1.605095541401274,32.10191082802548,16.05095541401274
2020-04-15,20,1.605095541401274,32.10191082802548,16.05095541401274
2020-04-16,27,1.605095541401274,43.3375796178344,21.6687898089172
2020-04-17,27,1.605095541401274,43.3375796178344,21.6687898089172
2020-04-18,26,1.605095541401274,41.732484076433124,20.866242038216562
2020-04-19,28,1.349397590361446,37.78313253012048,18.89156626506024
2020-04-20,32,1.349397590361446,43.18072289156627,21.590361445783135
2020-04-21,35,1.349397590361446,47.22891566265061,23.614457831325304
2020-04-22,31,1.349397590361446,41.83132530120482,20.91566265060241
2020-04-23,41,1.349397590361446,55.32530120481928,27.662650602409645
2020-04-24,57,1.349397590361446,76.91566265060241,38.45783132530121
2020-04-25,25,1.349397590361446,33.734939759036145,16.867469879518072
2020-04-26,25,1.3611111111111112,34.02777777777778,17.01388888888889
2020-04-27,27,1.3611111111111112,36.75,18.375
