date,masks,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-03-16,53,1.339622641509434,71.00000000000001,53.452857142857155
2020-03-17,46,1.339622641509434,61.62264150943397,46.39304582210244
2020-03-18,46,1.339622641509434,61.62264150943397,46.39304582210244
2020-03-19,69,1.339622641509434,92.43396226415095,69.58956873315365
2020-03-20,38,1.339622641509434,50.905660377358494,38.32469002695419
2020-03-21,66,1.339622641509434,88.41509433962266,66.56393530997306
2020-03-22,75,1.155,86.625,65.21625
2020-03-23,67,1.155,77.385,58.259850000000014
2020-03-24,43,1.155,49.665,37.39065
2020-03-25,62,1.155,71.61,53.91210000000001
2020-03-26,43,1.155,49.665,37.39065
2020-03-27,41,1.155,47.355000000000004,35.65155000000001
2020-03-28,69,1.155,79.69500000000001,59.99895000000001
2020-03-29,69,1.027027027027027,70.86486486486486,53.351119691119685
2020-03-30,46,1.027027027027027,47.24324324324324,35.567413127413126
2020-03-31,56,1.027027027027027,57.51351351351351,43.29945945945946
2020-04-01,87,1.027027027027027,89.35135135135134,67.26880308880308
2020-04-02,100,1.027027027027027,102.7027027027027,77.32046332046332
2020-04-03,87,1.027027027027027,89.35135135135134,67.26880308880308
2020-04-04,73,1.027027027027027,74.97297297297297,56.443938223938225
2020-04-05,81,1.0677966101694916,86.49152542372882,65.1157627118644
2020-04-06,98,1.0677966101694916,104.64406779661017,78.78203389830509
2020-04-07,68,1.0677966101694916,72.61016949152543,54.66508474576271
2020-04-08,65,1.0677966101694916,69.40677966101696,52.25338983050849
2020-04-09,73,1.0677966101694916,77.94915254237289,58.68457627118645
2020-04-10,77,1.0677966101694916,82.22033898305085,61.90016949152544
2020-04-11,69,1.0677966101694916,73.67796610169492,55.46898305084746
2020-04-12,53,1.0349075975359343,54.85010266940452,41.29429158110884
2020-04-13,58,1.0349075975359343,60.02464065708419,45.1899794661191
2020-04-14,51,1.0349075975359343,52.78028747433265,39.73601642710473
2020-04-15,97,1.0349075975359343,100.38603696098563,75.5763449691992
2020-04-16,67,1.0349075975359343,69.3388090349076,52.20221765913758
2020-04-17,100,1.0349075975359343,103.49075975359344,77.91375770020535
2020-04-18,61,1.0349075975359343,63.12936344969199,47.52739219712526
2020-04-19,53,0.8966292134831461,47.52134831460674,35.77678651685394
2020-04-20,74,0.8966292134831461,66.3505617977528,49.95249438202247
2020-04-21,71,0.8966292134831461,63.66067415730337,47.92739325842697
2020-04-22,90,0.8966292134831461,80.69662921348315,60.75303370786518
2020-04-23,55,0.8966292134831461,49.31460674157303,37.12685393258427
2020-04-24,39,0.8966292134831461,34.9685393258427,26.326314606741576
2020-04-25,63,0.8966292134831461,56.4876404494382,42.52712359550562
