date,lagnat,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-03-16,50,1.4962593516209477,74.81296758104739,16.193283026200735
2020-03-17,71,1.4962593516209477,106.23441396508728,22.994461897205042
2020-03-18,79,1.4962593516209477,118.20448877805487,25.585387181397163
2020-03-19,50,1.4962593516209477,74.81296758104739,16.193283026200735
2020-03-20,51,1.4962593516209477,76.30922693266834,16.51714868672475
2020-03-21,100,1.4962593516209477,149.62593516209478,32.38656605240147
2020-03-22,72,1.605985037406484,115.63092269326684,25.028338245295856
2020-03-23,52,1.605985037406484,83.51122194513717,18.076022066047006
2020-03-24,57,1.605985037406484,91.54114713216958,19.81410111085922
2020-03-25,46,1.605985037406484,73.87531172069826,15.990327212272353
2020-03-26,58,1.605985037406484,93.14713216957607,20.16171691982166
2020-03-27,50,1.605985037406484,80.2992518703242,17.380790448122124
2020-03-28,66,1.605985037406484,105.99501246882794,22.9426433915212
2020-03-29,0,2.3554502369668247,0.0,0.0
2020-03-30,46,2.3554502369668247,108.35071090047393,23.45253482694241
2020-03-31,0,2.3554502369668247,0.0,0.0
2020-04-01,69,2.3554502369668247,162.5260663507109,35.17880224041362
2020-04-02,46,2.3554502369668247,108.35071090047393,23.45253482694241
2020-04-03,50,2.3554502369668247,117.77251184834124,25.49188568145915
2020-04-04,0,2.3554502369668247,0.0,0.0
2020-04-05,0,6.7846153846153845,0.0,0.0
2020-04-06,65,6.7846153846153845,441.0,95.45454545454547
2020-04-07,0,6.7846153846153845,0.0,0.0
2020-04-08,0,6.7846153846153845,0.0,0.0
2020-04-09,0,6.7846153846153845,0.0,0.0
2020-04-10,0,6.7846153846153845,0.0,0.0
2020-04-11,0,6.7846153846153845,0.0,0.0
2020-04-12,52,1.413907284768212,73.52317880794702,15.914107967088102
2020-04-13,0,1.413907284768212,0.0,0.0
2020-04-14,0,1.413907284768212,0.0,0.0
2020-04-15,0,1.413907284768212,0.0,0.0
2020-04-16,80,1.413907284768212,113.11258278145695,24.483243026289387
2020-04-17,70,1.413907284768212,98.97350993377484,21.422837648003213
2020-04-18,100,1.413907284768212,141.39072847682118,30.60405378286173
2020-04-19,0,2.42483660130719,0.0,0.0
2020-04-20,0,2.42483660130719,0.0,0.0
2020-04-21,0,2.42483660130719,0.0,0.0
2020-04-22,96,2.42483660130719,232.78431372549022,50.38621509209745
2020-04-23,57,2.42483660130719,138.2156862745098,29.916815210932864
2020-04-24,0,2.42483660130719,0.0,0.0
2020-04-25,0,2.42483660130719,0.0,0.0
2020-04-26,65,1.958041958041958,127.27272727272727,27.548209366391184
2020-04-27,0,1.958041958041958,0.0,0.0
2020-04-28,0,1.958041958041958,0.0,0.0
2020-04-29,0,1.958041958041958,0.0,0.0
2020-04-30,0,1.958041958041958,0.0,0.0
2020-05-01,78,1.958041958041958,152.72727272727272,33.057851239669425
2020-05-02,0,1.958041958041958,0.0,0.0
2020-05-03,0,,0.0,0.0
2020-05-04,0,,0.0,0.0
2020-05-05,0,,0.0,0.0
2020-05-06,0,,0.0,0.0
2020-05-07,0,,0.0,0.0
2020-05-08,0,,0.0,0.0
2020-05-09,0,,0.0,0.0
2020-05-10,0,3.294117647058824,0.0,0.0
2020-05-11,0,3.294117647058824,0.0,0.0
2020-05-12,0,3.294117647058824,0.0,0.0
2020-05-13,0,3.294117647058824,0.0,0.0
2020-05-14,68,3.294117647058824,224.00000000000003,48.4848484848485
2020-05-15,0,3.294117647058824,0.0,0.0
2020-05-16,0,3.294117647058824,0.0,0.0
2020-05-17,0,,0.0,0.0
2020-05-18,0,,0.0,0.0
2020-05-19,0,,0.0,0.0
2020-05-20,0,,0.0,0.0
2020-05-21,0,,0.0,0.0
2020-05-22,0,,0.0,0.0
2020-05-23,0,,0.0,0.0
2020-05-24,100,1.7407407407407407,174.07407407407408,37.67837101170435
2020-05-25,0,1.7407407407407407,0.0,0.0
2020-05-26,0,1.7407407407407407,0.0,0.0
2020-05-27,0,1.7407407407407407,0.0,0.0
2020-05-28,0,1.7407407407407407,0.0,0.0
2020-05-29,89,1.7407407407407407,154.92592592592592,33.533750200416875
2020-05-30,0,1.7407407407407407,0.0,0.0
2020-05-31,0,,0.0,0.0
2020-06-01,0,,0.0,0.0
2020-06-02,0,,0.0,0.0
2020-06-03,0,,0.0,0.0
2020-06-04,0,,0.0,0.0
2020-06-05,0,,0.0,0.0
2020-06-06,0,,0.0,0.0
2020-06-07,0,3.659090909090909,0.0,0.0
2020-06-08,0,3.659090909090909,0.0,0.0
2020-06-09,0,3.659090909090909,0.0,0.0
2020-06-10,0,3.659090909090909,0.0,0.0
2020-06-11,88,3.659090909090909,322.0,69.6969696969697
2020-06-12,0,3.659090909090909,0.0,0.0
2020-06-13,0,3.659090909090909,0.0,0.0
2020-06-14,0,2.224806201550388,0.0,0.0
