date,sipon,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-03-16,100,1.3163972286374133,131.63972286374133,60.66346675748447
2020-03-17,96,1.3163972286374133,126.37413394919167,58.23692808718509
2020-03-18,63,1.3163972286374133,82.93302540415704,38.21798405721522
2020-03-19,64,1.3163972286374133,84.24942263279445,38.824618724790064
2020-03-20,66,1.3163972286374133,86.88221709006928,40.03788805993975
2020-03-21,44,1.3163972286374133,57.921478060046184,26.691925373293167
2020-03-22,72,1.4425162689804771,103.86117136659435,47.86229095234762
2020-03-23,38,1.4425162689804771,54.815618221258134,25.26065355818347
2020-03-24,59,1.4425162689804771,85.10845986984815,39.220488419284855
2020-03-25,77,1.4425162689804771,111.07375271149674,51.18606115737177
2020-03-26,83,1.4425162689804771,119.7288503253796,55.174585403400734
2020-03-27,63,1.4425162689804771,90.87852494577005,41.87950458330417
2020-03-28,69,1.4425162689804771,99.53362255965293,45.86802882933314
2020-03-29,57,1.3914373088685017,79.3119266055046,36.54927493341225
2020-03-30,51,1.3914373088685017,70.96330275229359,32.70198283515833
2020-03-31,54,1.3914373088685017,75.1376146788991,34.62562888428529
2020-04-01,53,1.3914373088685017,73.7461773700306,33.984413534576305
2020-04-02,43,1.3914373088685017,59.831804281345576,27.572260037486434
2020-04-03,32,1.3914373088685017,44.525993883792054,20.51889119068758
2020-04-04,37,1.3914373088685017,51.48318042813456,23.724967939232513
2020-04-05,47,1.627906976744186,76.51162790697674,35.25881470367591
2020-04-06,32,1.627906976744186,52.093023255813954,24.006001500375092
2020-04-07,31,1.627906976744186,50.46511627906977,23.25581395348837
2020-04-08,49,1.627906976744186,79.76744186046511,36.75918979744935
2020-04-09,0,1.627906976744186,0.0,0.0
2020-04-10,0,1.627906976744186,0.0,0.0
2020-04-11,56,1.627906976744186,91.16279069767442,42.01050262565641
2020-04-12,73,1.037037037037037,75.7037037037037,34.88649940262843
2020-04-13,0,1.037037037037037,0.0,0.0
2020-04-14,34,1.037037037037037,35.25925925925926,16.248506571087216
2020-04-15,51,1.037037037037037,52.888888888888886,24.372759856630818
2020-04-16,67,1.037037037037037,69.48148148148148,32.019115890083626
2020-04-17,67,1.037037037037037,69.48148148148148,32.019115890083626
2020-04-18,59,1.037037037037037,61.18518518518518,28.195937873357224
2020-04-19,66,2.447154471544715,161.5121951219512,74.42958300550745
2020-04-20,0,2.447154471544715,0.0,0.0
2020-04-21,0,2.447154471544715,0.0,0.0
2020-04-22,0,2.447154471544715,0.0,0.0
2020-04-23,0,2.447154471544715,0.0,0.0
2020-04-24,57,2.447154471544715,139.48780487804876,64.28009441384734
2020-04-25,0,2.447154471544715,0.0,0.0
2020-04-26,0,1.1666666666666667,0.0,0.0
2020-04-27,78,1.1666666666666667,91.0,41.93548387096774
2020-04-28,67,1.1666666666666667,78.16666666666667,36.02150537634408
2020-04-29,100,1.1666666666666667,116.66666666666667,53.76344086021505
2020-04-30,0,1.1666666666666667,0.0,0.0
2020-05-01,0,1.1666666666666667,0.0,0.0
2020-05-02,55,1.1666666666666667,64.16666666666667,29.569892473118276
2020-05-03,75,2.8933333333333335,217.00000000000003,100.0
2020-05-04,0,2.8933333333333335,0.0,0.0
2020-05-05,0,2.8933333333333335,0.0,0.0
2020-05-06,0,2.8933333333333335,0.0,0.0
2020-05-07,0,2.8933333333333335,0.0,0.0
2020-05-08,0,2.8933333333333335,0.0,0.0
2020-05-09,0,2.8933333333333335,0.0,0.0
2020-05-10,0,2.0517241379310343,0.0,0.0
2020-05-11,0,2.0517241379310343,0.0,0.0
2020-05-12,0,2.0517241379310343,0.0,0.0
2020-05-13,0,2.0517241379310343,0.0,0.0
2020-05-14,52,2.0517241379310343,106.68965517241378,49.16573971078975
2020-05-15,0,2.0517241379310343,0.0,0.0
2020-05-16,64,2.0517241379310343,131.3103448275862,60.51167964404893
2020-05-17,0,4.254901960784314,0.0,0.0
2020-05-18,0,4.254901960784314,0.0,0.0
2020-05-19,51,4.254901960784314,217.0,99.99999999999999
2020-05-20,0,4.254901960784314,0.0,0.0
2020-05-21,0,4.254901960784314,0.0,0.0
2020-05-22,0,4.254901960784314,0.0,0.0
2020-05-23,0,4.254901960784314,0.0,0.0
2020-05-24,0,3.2878787878787876,0.0,0.0
2020-05-25,0,3.2878787878787876,0.0,0.0
2020-05-26,66,3.2878787878787876,216.99999999999997,99.99999999999997
2020-05-27,0,3.2878787878787876,0.0,0.0
2020-05-28,0,3.2878787878787876,0.0,0.0
2020-05-29,0,3.2878787878787876,0.0,0.0
2020-05-30,0,3.2878787878787876,0.0,0.0
2020-05-31,0,1.8666666666666667,0.0,0.0
2020-06-01,71,1.8666666666666667,132.53333333333333,61.07526881720429
2020-06-02,0,1.8666666666666667,0.0,0.0
2020-06-03,0,1.8666666666666667,0.0,0.0
2020-06-04,0,1.8666666666666667,0.0,0.0
2020-06-05,0,1.8666666666666667,0.0,0.0
2020-06-06,64,1.8666666666666667,119.46666666666667,55.0537634408602
2020-06-07,76,0.9595015576323987,72.9221183800623,33.60466284795498
2020-06-08,0,0.9595015576323987,0.0,0.0
2020-06-09,0,0.9595015576323987,0.0,0.0
2020-06-10,69,0.9595015576323987,66.2056074766355,30.50949653301175
