date,ecq,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-03-16,0,0.4285714285714285,0.0,0.0
2020-03-17,0,0.4285714285714285,0.0,0.0
2020-03-18,5,0.4285714285714285,2.1428571428571423,0.9887755102040816
2020-03-19,0,0.4285714285714285,0.0,0.0
2020-03-20,5,0.4285714285714285,2.1428571428571423,0.9887755102040816
2020-03-21,4,0.4285714285714285,1.714285714285714,0.7910204081632652
2020-03-22,4,0.368421052631579,1.473684210526316,0.6800000000000003
2020-03-23,5,0.368421052631579,1.842105263157895,0.8500000000000002
2020-03-24,6,0.368421052631579,2.210526315789474,1.0200000000000002
2020-03-25,11,0.368421052631579,4.052631578947369,1.8700000000000006
2020-03-26,8,0.368421052631579,2.947368421052632,1.3600000000000005
2020-03-27,12,0.368421052631579,4.421052631578948,2.0400000000000005
2020-03-28,11,0.368421052631579,4.052631578947369,1.8700000000000006
2020-03-29,12,0.3368983957219251,4.042780748663101,1.8654545454545455
2020-03-30,17,0.3368983957219251,5.727272727272727,2.642727272727273
2020-03-31,23,0.3368983957219251,7.7486631016042775,3.5754545454545457
2020-04-01,26,0.3368983957219251,8.759358288770052,4.041818181818182
2020-04-02,33,0.3368983957219251,11.117647058823527,5.13
2020-04-03,37,0.3368983957219251,12.465240641711228,5.751818181818182
2020-04-04,39,0.3368983957219251,13.139037433155078,6.062727272727273
2020-04-05,43,0.35656836461126,15.33243967828418,7.0748257372654155
2020-04-06,100,0.35656836461126,35.656836461126,16.453083109919568
2020-04-07,98,0.35656836461126,34.94369973190348,16.12402144772118
2020-04-08,46,0.35656836461126,16.40214477211796,7.568418230563004
2020-04-09,29,0.35656836461126,10.34048257372654,4.771394101876676
2020-04-10,28,0.35656836461126,9.98391420911528,4.60686327077748
2020-04-11,29,0.35656836461126,10.34048257372654,4.771394101876676
2020-04-12,41,0.5588235294117647,22.911764705882355,10.572142857142861
2020-04-13,54,0.5588235294117647,30.176470588235293,13.924285714285716
2020-04-14,52,0.5588235294117647,29.058823529411764,13.408571428571431
2020-04-15,63,0.5588235294117647,35.205882352941174,16.245
2020-04-16,10,0.5588235294117647,5.588235294117647,2.578571428571429
2020-04-17,9,0.5588235294117647,5.029411764705882,2.320714285714286
2020-04-18,9,0.5588235294117647,5.029411764705882,2.320714285714286
2020-04-19,12,2.094890510948905,25.13868613138686,11.599708029197082
2020-04-20,14,2.094890510948905,29.32846715328467,13.53299270072993
2020-04-21,15,2.094890510948905,31.423357664233574,14.499635036496352
2020-04-22,15,2.094890510948905,31.423357664233574,14.499635036496352
2020-04-23,30,2.094890510948905,62.84671532846715,28.999270072992704
2020-04-24,38,2.094890510948905,79.60583941605839,36.73240875912409
2020-04-25,13,2.094890510948905,27.233576642335763,12.566350364963505
2020-04-26,11,2.0517241379310343,22.568965517241377,10.41396551724138
2020-04-27,16,2.0517241379310343,32.82758620689655,15.147586206896552
2020-04-28,19,2.0517241379310343,38.98275862068965,17.987758620689657
2020-04-29,16,2.0517241379310343,32.82758620689655,15.147586206896552
2020-04-30,22,2.0517241379310343,45.137931034482754,20.82793103448276
2020-05-01,17,2.0517241379310343,34.87931034482758,16.094310344827587
2020-05-02,15,2.0517241379310343,30.775862068965512,14.200862068965517
2020-05-03,13,1.9743589743589745,25.666666666666668,11.843333333333335
2020-05-04,17,1.9743589743589745,33.56410256410257,15.487435897435903
2020-05-05,16,1.9743589743589745,31.58974358974359,14.576410256410261
2020-05-06,13,1.9743589743589745,25.666666666666668,11.843333333333335
2020-05-07,34,1.9743589743589745,67.12820512820514,30.974871794871806
2020-05-08,31,1.9743589743589745,61.205128205128204,28.24179487179488
2020-05-09,32,1.9743589743589745,63.17948717948718,29.152820512820522
2020-05-10,27,2.1671826625386994,58.51393188854488,27.0
2020-05-11,68,2.1671826625386994,147.36842105263156,68.0
2020-05-12,100,2.1671826625386994,216.71826625386993,100.0
2020-05-13,51,2.1671826625386994,110.52631578947367,51.0
2020-05-14,30,2.1671826625386994,65.01547987616098,30.0
2020-05-15,24,2.1671826625386994,52.01238390092878,24.0
2020-05-16,23,2.1671826625386994,49.84520123839009,23.000000000000004
2020-05-17,78,0.4643734643734643,36.22113022113021,16.71346437346437
2020-05-18,74,0.4643734643734643,34.36363636363636,15.856363636363637
2020-05-19,57,0.4643734643734643,26.469287469287465,12.213685503685504
2020-05-20,46,0.4643734643734643,21.361179361179357,9.856658476658477
2020-05-21,65,0.4643734643734643,30.18427518427518,13.927886977886978
2020-05-22,50,0.4643734643734643,23.218673218673214,10.713759213759214
2020-05-23,37,0.4643734643734643,17.18181818181818,7.928181818181819
2020-05-24,34,0.4635761589403973,15.761589403973508,7.272847682119206
2020-05-25,46,0.4635761589403973,21.324503311258276,9.839735099337748
2020-05-26,54,0.4635761589403973,25.033112582781452,11.550993377483444
2020-05-27,45,0.4635761589403973,20.860927152317878,9.625827814569536
2020-05-28,49,0.4635761589403973,22.715231788079468,10.481456953642384
2020-05-29,45,0.4635761589403973,20.860927152317878,9.625827814569536
2020-05-30,29,0.4635761589403973,13.443708609271521,6.203311258278146
2020-05-31,27,0.4093567251461988,11.052631578947368,5.100000000000001
2020-06-01,35,0.4093567251461988,14.327485380116958,6.6111111111111125
2020-06-02,26,0.4093567251461988,10.643274853801168,4.911111111111111
2020-06-03,24,0.4093567251461988,9.82456140350877,4.533333333333333
2020-06-04,21,0.4093567251461988,8.596491228070175,3.966666666666667
2020-06-05,20,0.4093567251461988,8.187134502923977,3.7777777777777786
2020-06-06,18,0.4093567251461988,7.368421052631579,3.4000000000000004
2020-06-07,16,0.4268292682926829,6.829268292682927,3.1512195121951225
2020-06-08,24,0.4268292682926829,10.24390243902439,4.726829268292684
2020-06-09,23,0.4268292682926829,9.817073170731707,4.529878048780488
2020-06-10,27,0.4268292682926829,11.524390243902438,5.317682926829269
2020-06-11,33,0.4268292682926829,14.085365853658537,6.4993902439024405
2020-06-12,51,0.4268292682926829,21.76829268292683,10.044512195121953
2020-06-13,72,0.4268292682926829,30.73170731707317,14.18048780487805
2020-06-14,71,0.2597938144329896,18.445360824742263,8.51121649484536
2020-06-15,100,0.2597938144329896,25.97938144329896,11.987628865979378
2020-06-16,47,0.2597938144329896,12.210309278350511,5.634185567010308
2020-06-17,100,0.2597938144329896,25.97938144329896,11.987628865979378
2020-06-18,62,0.2597938144329896,16.107216494845357,7.432329896907216
2020-06-19,65,0.2597938144329896,16.886597938144323,7.791958762886596
2020-06-20,40,0.2597938144329896,10.391752577319584,4.795051546391752
2020-06-21,35,0.1166666666666666,4.083333333333331,1.8841666666666659
2020-06-22,52,0.1166666666666666,6.066666666666663,2.7993333333333323
2020-06-23,45,0.1166666666666666,5.249999999999997,2.4224999999999994
2020-06-24,34,0.1166666666666666,3.9666666666666646,1.8303333333333327
2020-06-25,43,0.1166666666666666,5.016666666666664,2.3148333333333326
2020-06-26,48,0.1166666666666666,5.599999999999997,2.583999999999999
2020-06-27,43,0.1166666666666666,5.016666666666664,2.3148333333333326
2020-06-28,37,0.112,4.144,1.9121600000000005
2020-06-29,56,0.112,6.272,2.8940800000000007
2020-06-30,89,0.112,9.968,4.599520000000001
2020-07-01,73,0.112,8.176,3.772640000000001
2020-07-02,48,0.112,5.376,2.4806400000000006
2020-07-03,43,0.112,4.816,2.22224
2020-07-04,29,0.112,3.248,1.4987200000000005
2020-07-05,28,0.1111111111111111,3.1111111111111107,1.4355555555555557
2020-07-06,65,0.1111111111111111,7.222222222222221,3.3325396825396827
2020-07-07,59,0.1111111111111111,6.555555555555555,3.0249206349206355
2020-07-08,62,0.1111111111111111,6.888888888888888,3.1787301587301595
2020-07-09,35,0.1111111111111111,3.888888888888889,1.7944444444444447
2020-07-10,34,0.1111111111111111,3.7777777777777777,1.7431746031746034
2020-07-11,32,0.1111111111111111,3.5555555555555554,1.640634920634921
2020-07-12,37,0.1186440677966101,4.3898305084745735,2.025593220338982
2020-07-13,50,0.1186440677966101,5.932203389830505,2.7372881355932193
2020-07-14,51,0.1186440677966101,6.050847457627115,2.7920338983050836
2020-07-15,92,0.1186440677966101,10.91525423728813,5.0366101694915235
2020-07-16,69,0.1186440677966101,8.186440677966097,3.7774576271186424
2020-07-17,51,0.1186440677966101,6.050847457627115,2.7920338983050836
2020-07-18,4,0.1186440677966101,0.4745762711864404,0.21898305084745756
2020-07-19,3,1.0294117647058825,3.0882352941176476,1.4250000000000005
2020-07-20,4,1.0294117647058825,4.11764705882353,1.9000000000000006
2020-07-21,5,1.0294117647058825,5.147058823529412,2.375000000000001
2020-07-22,6,1.0294117647058825,6.176470588235295,2.850000000000001
2020-07-23,5,1.0294117647058825,5.147058823529412,2.375000000000001
2020-07-24,6,1.0294117647058825,6.176470588235295,2.850000000000001
2020-07-25,5,1.0294117647058825,5.147058823529412,2.375000000000001
2020-07-26,7,1.0677966101694916,7.474576271186441,3.448983050847459
2020-07-27,8,1.0677966101694916,8.542372881355933,3.941694915254238
2020-07-28,7,1.0677966101694916,7.474576271186441,3.448983050847459
2020-07-29,7,1.0677966101694916,7.474576271186441,3.448983050847459
2020-07-30,8,1.0677966101694916,8.542372881355933,3.941694915254238
2020-07-31,9,1.0677966101694916,9.610169491525424,4.4344067796610185
2020-08-01,13,1.0677966101694916,13.881355932203391,6.405254237288137
2020-08-02,100,1.0252525252525253,102.52525252525253,47.30808080808082
2020-08-03,55,1.0252525252525253,56.38888888888889,26.01944444444445
2020-08-04,16,1.0252525252525253,16.404040404040405,7.569292929292931
2020-08-05,8,1.0252525252525253,8.202020202020202,3.7846464646464657
2020-08-06,8,1.0252525252525253,8.202020202020202,3.7846464646464657
2020-08-07,6,1.0252525252525253,6.151515151515152,2.8384848484848497
2020-08-08,5,1.0252525252525253,5.126262626262626,2.365404040404041
2020-08-09,4,1.0888888888888888,4.355555555555555,2.009777777777778
2020-08-10,6,1.0888888888888888,6.533333333333333,3.0146666666666673
2020-08-11,6,1.0888888888888888,6.533333333333333,3.0146666666666673
2020-08-12,6,1.0888888888888888,6.533333333333333,3.0146666666666673
2020-08-13,9,1.0888888888888888,9.799999999999999,4.522
2020-08-14,7,1.0888888888888888,7.622222222222222,3.5171111111111117
2020-08-15,7,1.0888888888888888,7.622222222222222,3.5171111111111117
2020-08-16,8,0.20817843866171,1.66542750929368,0.7684758364312269
