date,face shield,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-03-16,0,0.1578947368421052,0.0,0.0
2020-03-17,0,0.1578947368421052,0.0,0.0
2020-03-18,57,0.1578947368421052,8.999999999999996,4.525714285714283
2020-03-19,53,0.1578947368421052,8.368421052631575,4.208120300751877
2020-03-20,42,0.1578947368421052,6.631578947368419,3.334736842105261
2020-03-21,0,0.1578947368421052,0.0,0.0
2020-03-22,70,0.1054613935969868,7.382297551789075,3.7122410546139344
2020-03-23,77,0.1054613935969868,8.120527306967983,4.083465160075328
2020-03-24,89,0.1054613935969868,9.386064030131825,4.719849340866288
2020-03-25,55,0.1054613935969868,5.800376647834273,2.916760828625234
2020-03-26,69,0.1054613935969868,7.276836158192089,3.659209039548021
2020-03-27,100,0.1054613935969868,10.54613935969868,5.303201506591336
2020-03-28,71,0.1054613935969868,7.487758945386062,3.7652730696798473
2020-03-29,58,0.1314553990610328,7.624413145539902,3.833990610328635
2020-03-30,82,0.1314553990610328,10.779342723004689,5.420469483568071
2020-03-31,58,0.1314553990610328,7.624413145539902,3.833990610328635
2020-04-01,51,0.1314553990610328,6.7042253521126725,3.3712676056338
2020-04-02,89,0.1314553990610328,11.699530516431919,5.883192488262907
2020-04-03,0,0.1314553990610328,0.0,0.0
2020-04-04,88,0.1314553990610328,11.568075117370885,5.81708920187793
2020-04-05,69,0.088235294117647,6.088235294117642,3.061512605042014
2020-04-06,67,0.088235294117647,5.911764705882349,2.9727731092436946
2020-04-07,97,0.088235294117647,8.55882352941176,4.303865546218484
2020-04-08,57,0.088235294117647,5.029411764705879,2.5290756302520987
2020-04-09,63,0.088235294117647,5.558823529411761,2.7952941176470563
2020-04-10,51,0.088235294117647,4.4999999999999964,2.2628571428571407
2020-04-11,72,0.088235294117647,6.352941176470583,3.1946218487394926
2020-04-12,0,0.1131639722863741,0.0,0.0
2020-04-13,72,0.1131639722863741,8.147806004618936,4.09718244803695
2020-04-14,64,0.1131639722863741,7.242494226327943,3.641939953810622
2020-04-15,72,0.1131639722863741,8.147806004618936,4.09718244803695
2020-04-16,100,0.1131639722863741,11.316397228637411,5.690531177829097
2020-04-17,72,0.1131639722863741,8.147806004618936,4.09718244803695
2020-04-18,53,0.1131639722863741,5.9976905311778275,3.0159815242494212
2020-04-19,58,0.1114058355437665,6.461538461538457,3.249230769230767
2020-04-20,51,0.1114058355437665,5.6816976127320915,2.8570822281167083
2020-04-21,84,0.1114058355437665,9.358090185676385,4.705782493368696
2020-04-22,63,0.1114058355437665,7.01856763925729,3.5293368700265217
2020-04-23,41,0.1114058355437665,4.567639257294426,2.296870026525197
2020-04-24,36,0.1114058355437665,4.010610079575594,2.016763925729441
2020-04-25,44,0.1114058355437665,4.901856763925726,2.46493368700265
2020-04-26,38,0.1186440677966101,4.508474576271184,2.267118644067795
2020-04-27,48,0.1186440677966101,5.694915254237285,2.86372881355932
2020-04-28,39,0.1186440677966101,4.627118644067794,2.3267796610169476
2020-04-29,57,0.1186440677966101,6.762711864406776,3.4006779661016924
2020-04-30,64,0.1186440677966101,7.593220338983047,3.8183050847457602
2020-05-01,56,0.1186440677966101,6.644067796610166,3.34101694915254
2020-05-02,52,0.1186440677966101,6.169491525423726,3.10237288135593
2020-05-03,53,0.1327014218009478,7.033175355450233,3.536682464454974
2020-05-04,55,0.1327014218009478,7.298578199052129,3.670142180094784
2020-05-05,67,0.1327014218009478,8.890995260663502,4.4709004739336455
2020-05-06,74,0.1327014218009478,9.819905213270136,4.938009478672982
2020-05-07,77,0.1327014218009478,10.21800947867298,5.1381990521326975
2020-05-08,46,0.1327014218009478,6.104265402843598,3.0695734597156377
2020-05-09,50,0.1327014218009478,6.63507109004739,3.3364928909952583
2020-05-10,0,0.1228070175438596,0.0,0.0
2020-05-11,57,0.1228070175438596,6.999999999999997,3.5199999999999982
2020-05-12,38,0.1228070175438596,4.666666666666665,2.3466666666666653
2020-05-13,45,0.1228070175438596,5.526315789473682,2.778947368421051
2020-05-14,59,0.1228070175438596,7.2456140350877165,3.6435087719298225
2020-05-15,63,0.1228070175438596,7.736842105263155,3.8905263157894714
2020-05-16,80,0.1228070175438596,9.824561403508769,4.94035087719298
2020-05-17,60,0.1477927063339731,8.867562380038386,4.459117082533588
2020-05-18,70,0.1477927063339731,10.345489443378117,5.202303262955852
2020-05-19,80,0.1477927063339731,11.823416506717848,5.945489443378117
2020-05-20,64,0.1477927063339731,9.458733205374278,4.756391554702493
2020-05-21,100,0.1477927063339731,14.77927063339731,7.431861804222646
2020-05-22,84,0.1477927063339731,12.41458733205374,6.242763915547023
2020-05-23,63,0.1477927063339731,9.310940499040305,4.6820729366602665
2020-05-24,57,0.1461716937354988,8.331786542923432,4.189698375870067
2020-05-25,65,0.1461716937354988,9.501160092807421,4.777726218097445
2020-05-26,59,0.1461716937354988,8.624129930394428,4.3367053364269115
2020-05-27,63,0.1461716937354988,9.208816705336424,4.630719257540601
2020-05-28,51,0.1461716937354988,7.454756380510438,3.7486774941995336
2020-05-29,72,0.1461716937354988,10.524361948955914,5.292250580046401
2020-05-30,64,0.1461716937354988,9.354988399071923,4.7042227378190224
2020-05-31,81,0.1353965183752417,10.967117988394577,5.514893617021272
2020-06-01,82,0.1353965183752417,11.102514506769818,5.582978723404251
2020-06-02,53,0.1353965183752417,7.1760154738878095,3.608510638297869
2020-06-03,97,0.1353965183752417,13.133462282398444,6.60425531914893
2020-06-04,71,0.1353965183752417,9.61315280464216,4.834042553191485
2020-06-05,65,0.1353965183752417,8.80077369439071,4.425531914893613
2020-06-06,68,0.1353965183752417,9.206963249516434,4.629787234042549
2020-06-07,38,0.1346153846153846,5.115384615384615,2.5723076923076915
2020-06-08,71,0.1346153846153846,9.557692307692307,4.806153846153845
2020-06-09,59,0.1346153846153846,7.942307692307692,3.9938461538461527
2020-06-10,41,0.1346153846153846,5.519230769230769,2.775384615384615
2020-06-11,43,0.1346153846153846,5.788461538461538,2.91076923076923
2020-06-12,36,0.1346153846153846,4.846153846153846,2.436923076923076
2020-06-13,76,0.1346153846153846,10.23076923076923,5.144615384615383
2020-06-14,0,0.1837270341207349,0.0,0.0
2020-06-15,69,0.1837270341207349,12.67716535433071,6.374803149606298
2020-06-16,84,0.1837270341207349,15.433070866141732,7.76062992125984
2020-06-17,57,0.1837270341207349,10.472440944881889,5.2661417322834625
2020-06-18,51,0.1837270341207349,9.37007874015748,4.711811023622046
2020-06-19,58,0.1837270341207349,10.656167979002625,5.358530183727033
2020-06-20,62,0.1837270341207349,11.391076115485564,5.728083989501311
2020-06-21,36,0.2033898305084746,7.322033898305085,3.681937046004842
2020-06-22,56,0.2033898305084746,11.389830508474578,5.7274576271186435
2020-06-23,51,0.2033898305084746,10.372881355932204,5.216077481840193
2020-06-24,56,0.2033898305084746,11.389830508474578,5.7274576271186435
2020-06-25,70,0.2033898305084746,14.237288135593221,7.159322033898305
2020-06-26,71,0.2033898305084746,14.440677966101696,7.261598062953994
2020-06-27,73,0.2033898305084746,14.847457627118645,7.466150121065375
2020-06-28,65,0.1895833333333333,12.322916666666664,6.1966666666666645
2020-06-29,66,0.1895833333333333,12.512499999999998,6.291999999999998
2020-06-30,61,0.1895833333333333,11.564583333333331,5.8153333333333315
2020-07-01,67,0.1895833333333333,12.70208333333333,6.387333333333331
2020-07-02,68,0.1895833333333333,12.891666666666664,6.482666666666664
2020-07-03,63,0.1895833333333333,11.943749999999998,6.005999999999998
2020-07-04,90,0.1895833333333333,17.062499999999996,8.579999999999997
2020-07-05,60,0.2023121387283237,12.138728323699423,6.104046242774566
2020-07-06,87,0.2023121387283237,17.601156069364162,8.850867052023121
2020-07-07,55,0.2023121387283237,11.127167630057803,5.595375722543351
2020-07-08,81,0.2023121387283237,16.38728323699422,8.240462427745664
2020-07-09,66,0.2023121387283237,13.352601156069365,6.714450867052022
2020-07-10,83,0.2023121387283237,16.79190751445087,8.44393063583815
2020-07-11,87,0.2023121387283237,17.601156069364162,8.850867052023121
2020-07-12,72,0.2394366197183098,17.239436619718305,8.668973843058346
2020-07-13,77,0.2394366197183098,18.436619718309853,9.270985915492954
2020-07-14,64,0.2394366197183098,15.323943661971827,7.7057545271629735
2020-07-15,78,0.2394366197183098,18.676056338028165,9.391388329979875
2020-07-16,100,0.2394366197183098,23.94366197183098,12.040241448692148
2020-07-17,96,0.2394366197183098,22.98591549295774,11.558631790744462
2020-07-18,10,0.2394366197183098,2.394366197183098,1.2040241448692148
2020-07-19,9,2.1,18.900000000000002,9.503999999999998
2020-07-20,8,2.1,16.8,8.447999999999999
2020-07-21,8,2.1,16.8,8.447999999999999
2020-07-22,8,2.1,16.8,8.447999999999999
2020-07-23,6,2.1,12.600000000000001,6.336
2020-07-24,5,2.1,10.5,5.279999999999999
2020-07-25,6,2.1,12.600000000000001,6.336
2020-07-26,6,2.0416666666666665,12.25,6.159999999999998
2020-07-27,4,2.0416666666666665,8.166666666666666,4.106666666666666
2020-07-28,2,2.0416666666666665,4.083333333333333,2.053333333333333
2020-07-29,4,2.0416666666666665,8.166666666666666,4.106666666666666
2020-07-30,5,2.0416666666666665,10.208333333333332,5.133333333333331
2020-07-31,30,2.0416666666666665,61.24999999999999,30.79999999999999
2020-08-01,21,2.0416666666666665,42.875,21.559999999999995
2020-08-02,14,1.988636363636364,27.840909090909097,14.000000000000002
2020-08-03,17,1.988636363636364,33.80681818181819,17.0
2020-08-04,22,1.988636363636364,43.75000000000001,22.0
2020-08-05,62,1.988636363636364,123.29545454545456,62.0
2020-08-06,100,1.988636363636364,198.8636363636364,100.0
2020-08-07,73,1.988636363636364,145.17045454545456,73.0
2020-08-08,64,1.988636363636364,127.2727272727273,64.0
2020-08-09,56,1.9529780564263324,109.36677115987462,54.99586206896551
2020-08-10,44,1.9529780564263324,85.93103448275862,43.211034482758606
2020-08-11,38,1.9529780564263324,74.21316614420063,37.31862068965516
2020-08-12,45,1.9529780564263324,87.88401253918495,44.19310344827585
2020-08-13,40,1.9529780564263324,78.11912225705329,39.28275862068965
2020-08-14,50,1.9529780564263324,97.64890282131663,49.103448275862064
2020-08-15,46,1.9529780564263324,89.83699059561128,45.17517241379309
2020-08-16,34,0.6327683615819208,21.514124293785308,10.818531073446325
2020-08-17,30,0.6327683615819208,18.983050847457626,9.545762711864404
2020-08-18,100,0.6327683615819208,63.27683615819208,31.819209039548014
2020-08-19,98,0.6327683615819208,62.01129943502824,31.18282485875705
