date,Frontliners,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-03-16,14,1.1020408163265305,15.428571428571427,13.158367346938777
2020-03-17,24,1.1020408163265305,26.448979591836732,22.55720116618076
2020-03-18,33,1.1020408163265305,36.367346938775505,31.016151603498542
2020-03-19,19,1.1020408163265305,20.93877551020408,17.857784256559768
2020-03-20,26,1.1020408163265305,28.653061224489793,24.436967930029155
2020-03-21,31,1.1020408163265305,34.16326530612245,29.136384839650148
2020-03-22,48,1.188073394495413,57.02752293577982,48.63633027522937
2020-03-23,52,1.188073394495413,61.779816513761475,52.68935779816515
2020-03-24,63,1.188073394495413,74.84862385321101,63.83518348623854
2020-03-25,60,1.188073394495413,71.28440366972478,60.79541284403671
2020-03-26,64,1.188073394495413,76.03669724770643,64.8484403669725
2020-03-27,71,1.188073394495413,84.35321100917432,71.9412385321101
2020-03-28,78,1.188073394495413,92.6697247706422,79.03403669724773
2020-03-29,68,1.1725293132328307,79.73199329983248,68.0
2020-03-30,73,1.1725293132328307,85.59463986599664,73.0
2020-03-31,82,1.1725293132328307,96.14740368509212,82.0
2020-04-01,80,1.1725293132328307,93.80234505862646,80.0
2020-04-02,99,1.1725293132328307,116.08040201005024,99.0
2020-04-03,95,1.1725293132328307,111.39028475711892,95.0
2020-04-04,100,1.1725293132328307,117.25293132328306,100.0
2020-04-05,88,1.1618257261410787,102.24066390041493,87.19668049792531
2020-04-06,90,1.1618257261410787,104.56431535269708,89.17842323651453
2020-04-07,69,1.1618257261410787,80.16597510373443,68.37012448132779
2020-04-08,71,1.1618257261410787,82.48962655601659,70.35186721991703
2020-04-09,67,1.1618257261410787,77.84232365145228,66.38838174273859
2020-04-10,55,1.1618257261410787,63.90041493775933,54.49792531120332
2020-04-11,42,1.1618257261410787,48.79668049792531,41.616597510373445
2020-04-12,55,0.9194915254237288,50.57203389830509,43.13072033898306
2020-04-13,49,0.9194915254237288,45.05508474576271,38.425550847457636
2020-04-14,52,0.9194915254237288,47.813559322033896,40.77813559322034
2020-04-15,62,0.9194915254237288,57.00847457627118,48.62008474576272
2020-04-16,82,0.9194915254237288,75.39830508474576,64.30398305084746
