date,flu,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-03-16,100,2.0408163265306123,204.08163265306123,100.0
2020-03-17,50,2.0408163265306123,102.04081632653062,50.0
2020-03-18,38,2.0408163265306123,77.55102040816327,38.0
2020-03-19,38,2.0408163265306123,77.55102040816327,38.0
2020-03-20,35,2.0408163265306123,71.42857142857143,35.0
2020-03-21,33,2.0408163265306123,67.34693877551021,33.0
2020-03-22,33,1.9901960784313728,65.6764705882353,32.18147058823529
2020-03-23,35,1.9901960784313728,69.65686274509805,34.13186274509805
2020-03-24,27,1.9901960784313728,53.735294117647065,26.330294117647064
2020-03-25,29,1.9901960784313728,57.715686274509814,28.280686274509808
2020-03-26,27,1.9901960784313728,53.735294117647065,26.330294117647064
2020-03-27,26,1.9901960784313728,51.74509803921569,25.35509803921569
2020-03-28,27,1.9901960784313728,53.735294117647065,26.330294117647064
2020-03-29,26,1.9291338582677169,50.15748031496064,24.57716535433071
2020-03-30,22,1.9291338582677169,42.44094488188977,20.796062992125986
2020-03-31,16,1.9291338582677169,30.86614173228347,15.124409448818898
2020-04-01,16,1.9291338582677169,30.86614173228347,15.124409448818898
2020-04-02,16,1.9291338582677169,30.86614173228347,15.124409448818898
2020-04-03,14,1.9291338582677169,27.007874015748037,13.233858267716537
2020-04-04,17,1.9291338582677169,32.795275590551185,16.06968503937008
2020-04-05,20,1.8706896551724137,37.41379310344827,18.332758620689653
2020-04-06,18,1.8706896551724137,33.672413793103445,16.499482758620687
2020-04-07,15,1.8706896551724137,28.060344827586206,13.74956896551724
2020-04-08,13,1.8706896551724137,24.318965517241377,11.916293103448274
2020-04-09,13,1.8706896551724137,24.318965517241377,11.916293103448274
2020-04-10,21,1.8706896551724137,39.28448275862069,19.24939655172414
2020-04-11,16,1.8706896551724137,29.93103448275862,14.666206896551722
2020-04-12,12,0.644,7.728,3.78672
2020-04-13,15,0.644,9.66,4.7334000000000005
2020-04-14,13,0.644,8.372,4.1022799999999995
2020-04-15,13,0.644,8.372,4.1022799999999995
2020-04-16,58,0.644,37.352000000000004,18.302480000000003
2020-04-17,69,0.644,44.436,21.77364
2020-04-18,70,0.644,45.08,22.089199999999998
2020-04-19,81,0.3155737704918033,25.561475409836067,12.525122950819673
2020-04-20,77,0.3155737704918033,24.299180327868854,11.906598360655737
2020-04-21,67,0.3155737704918033,21.143442622950822,10.360286885245902
2020-04-22,64,0.3155737704918033,20.19672131147541,9.896393442622951
2020-04-23,63,0.3155737704918033,19.88114754098361,9.74176229508197
2020-04-24,66,0.3155737704918033,20.827868852459016,10.205655737704918
2020-04-25,70,0.3155737704918033,22.09016393442623,10.824180327868852
2020-04-26,64,0.315450643776824,20.188841201716738,9.892532188841201
2020-04-27,51,0.315450643776824,16.087982832618025,7.883111587982832
2020-04-28,71,0.315450643776824,22.396995708154506,10.974527896995708
2020-04-29,77,0.315450643776824,24.28969957081545,11.90195278969957
2020-04-30,69,0.315450643776824,21.766094420600858,10.665386266094421
2020-05-01,77,0.315450643776824,24.28969957081545,11.90195278969957
2020-05-02,57,0.315450643776824,17.98068669527897,8.810536480686695
2020-05-03,58,0.3162650602409638,18.3433734939759,8.98825301204819
2020-05-04,65,0.3162650602409638,20.557228915662648,10.073042168674696
2020-05-05,38,0.3162650602409638,12.018072289156624,5.8888554216867455
2020-05-06,41,0.3162650602409638,12.966867469879515,6.3537650602409625
2020-05-07,43,0.3162650602409638,13.599397590361443,6.663704819277107
2020-05-08,58,0.3162650602409638,18.3433734939759,8.98825301204819
2020-05-09,29,0.3162650602409638,9.17168674698795,4.494126506024095
2020-05-10,37,0.3035714285714285,11.232142857142854,5.503749999999998
2020-05-11,56,0.3035714285714285,16.999999999999996,8.329999999999998
2020-05-12,46,0.3035714285714285,13.96428571428571,6.842499999999998
2020-05-13,47,0.3035714285714285,14.267857142857139,6.991249999999997
2020-05-14,50,0.3035714285714285,15.178571428571425,7.437499999999998
2020-05-15,56,0.3035714285714285,16.999999999999996,8.329999999999998
2020-05-16,100,0.3035714285714285,30.35714285714285,14.874999999999996
2020-05-17,100,0.3433962264150944,34.339622641509436,16.826415094339623
2020-05-18,93,0.3433962264150944,31.935849056603775,15.64856603773585
2020-05-19,77,0.3433962264150944,26.441509433962267,12.956339622641512
2020-05-20,69,0.3433962264150944,23.69433962264151,11.61022641509434
2020-05-21,66,0.3433962264150944,22.66415094339623,11.105433962264152
2020-05-22,57,0.3433962264150944,19.57358490566038,9.591056603773586
2020-05-23,68,0.3433962264150944,23.350943396226416,11.441962264150943
2020-05-24,48,0.3442622950819672,16.524590163934427,8.097049180327868
2020-05-25,62,0.3442622950819672,21.34426229508197,10.458688524590164
2020-05-26,48,0.3442622950819672,16.524590163934427,8.097049180327868
2020-05-27,52,0.3442622950819672,17.901639344262296,8.771803278688525
2020-05-28,72,0.3442622950819672,24.78688524590164,12.145573770491804
2020-05-29,74,0.3442622950819672,25.475409836065573,12.48295081967213
2020-05-30,71,0.3442622950819672,24.442622950819672,11.97688524590164
2020-05-31,63,0.3252212389380531,20.488938053097346,10.0395796460177
2020-06-01,74,0.3252212389380531,24.06637168141593,11.792522123893805
2020-06-02,63,0.3252212389380531,20.488938053097346,10.0395796460177
2020-06-03,48,0.3252212389380531,15.610619469026549,7.6492035398230085
2020-06-04,77,0.3252212389380531,25.042035398230087,12.270597345132742
2020-06-05,59,0.3252212389380531,19.188053097345133,9.402146017699115
2020-06-06,68,0.3252212389380531,22.115044247787612,10.83637168141593
2020-06-07,65,0.3236009732360097,21.03406326034063,10.306690997566909
2020-06-08,59,0.3236009732360097,19.092457420924575,9.355304136253041
2020-06-09,44,0.3236009732360097,14.238442822384428,6.976836982968369
