date,cough,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-03-16,96,1.1683569979716024,112.16227180527383,97.9016401043176
2020-03-17,82,1.1683569979716024,95.8052738336714,83.6243175891046
2020-03-18,87,1.1683569979716024,101.6470588235294,88.7233613445378
2020-03-19,75,1.1683569979716024,87.62677484787018,76.48565633149812
2020-03-20,71,1.1683569979716024,82.95334685598377,72.40642132715155
2020-03-21,82,1.1683569979716024,95.8052738336714,83.6243175891046
2020-03-22,95,1.1456628477905073,108.8379705400982,95.0
2020-03-23,100,1.1456628477905073,114.56628477905073,100.0
2020-03-24,89,1.1456628477905073,101.96399345335514,88.99999999999999
2020-03-25,84,1.1456628477905073,96.23567921440261,84.0
2020-03-26,94,1.1456628477905073,107.6923076923077,94.0
2020-03-27,72,1.1456628477905073,82.48772504091653,72.0
2020-03-28,77,1.1456628477905073,88.21603927986907,77.0
2020-03-29,69,1.0769230769230769,74.3076923076923,64.86000000000001
2020-03-30,52,1.0769230769230769,56.0,48.88
2020-03-31,49,1.0769230769230769,52.76923076923077,46.06
2020-04-01,46,1.0769230769230769,49.53846153846153,43.239999999999995
2020-04-02,50,1.0769230769230769,53.84615384615385,47.0
2020-04-03,40,1.0769230769230769,43.07692307692307,37.6
2020-04-04,45,1.0769230769230769,48.46153846153846,42.3
2020-04-05,35,1.066914498141264,37.342007434944236,32.59423791821561
2020-04-06,38,1.066914498141264,40.542750929368026,35.38802973977695
2020-04-07,41,1.066914498141264,43.74349442379182,38.18182156133829
2020-04-08,36,1.066914498141264,38.4089219330855,33.525501858736064
2020-04-09,40,1.066914498141264,42.67657992565056,37.250557620817844
2020-04-10,44,1.066914498141264,46.94423791821561,40.97561338289963
2020-04-11,35,1.066914498141264,37.342007434944236,32.59423791821561
2020-04-12,31,0.6458852867830424,20.022443890274314,17.476733167082294
2020-04-13,39,0.6458852867830424,25.189526184538654,21.986857855361595
2020-04-14,30,0.6458852867830424,19.376558603491272,16.912967581047383
2020-04-15,37,0.6458852867830424,23.897755610972567,20.85932668329177
2020-04-16,87,0.6458852867830424,56.19201995012469,49.04760598503741
2020-04-17,84,0.6458852867830424,54.25436408977556,47.356309226932666
2020-04-18,93,0.6458852867830424,60.06733167082294,52.430199501246875
2020-04-19,76,0.4258555133079848,32.365019011406844,28.25003802281369
2020-04-20,100,0.4258555133079848,42.58555133079848,37.17110266159696
2020-04-21,81,0.4258555133079848,34.49429657794677,30.108593155893537
2020-04-22,68,0.4258555133079848,28.958174904942968,25.276349809885936
2020-04-23,62,0.4258555133079848,26.40304182509506,23.046083650190116
2020-04-24,77,0.4258555133079848,32.79087452471483,28.621749049429663
2020-04-25,62,0.4258555133079848,26.40304182509506,23.046083650190116
2020-04-26,68,0.4405594405594406,29.95804195804196,26.149090909090912
2020-04-27,64,0.4405594405594406,28.195804195804197,24.610909090909093
2020-04-28,53,0.4405594405594406,23.34965034965035,20.380909090909093
2020-04-29,67,0.4405594405594406,29.51748251748252,25.764545454545456
2020-04-30,48,0.4405594405594406,21.146853146853147,18.458181818181817
2020-05-01,66,0.4405594405594406,29.076923076923077,25.380000000000003
2020-05-02,63,0.4405594405594406,27.755244755244757,24.226363636363637
2020-05-03,73,0.4181818181818181,30.52727272727272,26.64594805194805
2020-05-04,58,0.4181818181818181,24.25454545454545,21.170753246753243
2020-05-05,61,0.4181818181818181,25.509090909090904,22.265792207792202
2020-05-06,52,0.4181818181818181,21.745454545454542,18.98067532467532
2020-05-07,53,0.4181818181818181,22.16363636363636,19.34568831168831
2020-05-08,50,0.4181818181818181,20.909090909090907,18.250649350649347
2020-05-09,38,0.4181818181818181,15.890909090909087,13.870493506493503
2020-05-10,38,0.4262820512820513,16.19871794871795,14.139166666666666
2020-05-11,41,0.4262820512820513,17.477564102564106,15.25541666666667
2020-05-12,45,0.4262820512820513,19.18269230769231,16.743750000000002
2020-05-13,43,0.4262820512820513,18.330128205128208,15.999583333333337
2020-05-14,37,0.4262820512820513,15.7724358974359,13.767083333333336
2020-05-15,55,0.4262820512820513,23.44551282051282,20.464583333333334
2020-05-16,53,0.4262820512820513,22.59294871794872,19.72041666666667
2020-05-17,70,0.2906137184115523,20.342960288808662,17.75649819494585
2020-05-18,100,0.2906137184115523,29.061371841155232,25.366425992779785
2020-05-19,61,0.2906137184115523,17.727436823104693,15.473519855595669
2020-05-20,71,0.2906137184115523,20.633574007220215,18.010162454873647
2020-05-21,78,0.2906137184115523,22.667870036101082,19.78581227436823
2020-05-22,83,0.2906137184115523,24.120938628158843,21.05413357400722
2020-05-23,91,0.2906137184115523,26.44584837545126,23.0834476534296
2020-05-24,79,0.2777777777777778,21.944444444444446,19.154365079365082
2020-05-25,72,0.2777777777777778,20.0,17.457142857142856
2020-05-26,78,0.2777777777777778,21.666666666666668,18.911904761904765
2020-05-27,57,0.2777777777777778,15.833333333333334,13.820238095238096
2020-05-28,95,0.2777777777777778,26.38888888888889,23.033730158730158
2020-05-29,65,0.2777777777777778,18.055555555555557,15.759920634920638
2020-05-30,58,0.2777777777777778,16.11111111111111,14.062698412698413
2020-05-31,62,0.2592592592592592,16.07407407407407,14.030370370370365
2020-06-01,78,0.2592592592592592,20.222222222222218,17.65111111111111
2020-06-02,90,0.2592592592592592,23.33333333333333,20.366666666666664
2020-06-03,86,0.2592592592592592,22.29629629629629,19.461481481481478
2020-06-04,89,0.2592592592592592,23.07407407407407,20.140370370370366
2020-06-05,69,0.2592592592592592,17.888888888888886,15.614444444444441
2020-06-06,93,0.2592592592592592,24.111111111111104,21.045555555555552
2020-06-07,66,0.3037735849056604,20.049056603773586,17.499962264150945
2020-06-08,90,0.3037735849056604,27.339622641509436,23.863584905660378
2020-06-09,69,0.3037735849056604,20.960377358490568,18.295415094339624
2020-06-10,62,0.3037735849056604,18.833962264150948,16.439358490566043
2020-06-11,81,0.3037735849056604,24.605660377358493,21.477226415094343
