date,ubo,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-03-16,91,1.2121212121212122,110.30303030303031,50.83088954056696
2020-03-17,76,1.2121212121212122,92.12121212121212,42.45217148442955
2020-03-18,72,1.2121212121212122,87.27272727272728,40.217846669459576
2020-03-19,76,1.2121212121212122,92.12121212121212,42.45217148442955
2020-03-20,92,1.2121212121212122,111.51515151515152,51.38947074430945
2020-03-21,88,1.2121212121212122,106.66666666666667,49.15514592933947
2020-03-22,47,1.2464028776978415,58.58093525179855,26.995822696681355
2020-03-23,88,1.2464028776978415,109.68345323741005,50.5453701554885
2020-03-24,74,1.2464028776978415,92.23381294964027,42.504061267115326
2020-03-25,87,1.2464028776978415,108.43705035971222,49.970990949176134
2020-03-26,100,1.2464028776978415,124.64028776978415,57.43792063123693
2020-03-27,74,1.2464028776978415,92.23381294964027,42.504061267115326
2020-03-28,86,1.2464028776978415,107.19064748201437,49.39661174286376
2020-03-29,46,1.3099415204678364,60.257309941520475,27.768345595170725
2020-03-30,44,1.3099415204678364,57.6374269005848,26.56102622146765
2020-03-31,44,1.3099415204678364,57.6374269005848,26.56102622146765
2020-04-01,49,1.3099415204678364,64.18713450292398,29.57932465572533
2020-04-02,83,1.3099415204678364,108.72514619883042,50.103754008677605
2020-04-03,30,1.3099415204678364,39.29824561403509,18.109790605546124
2020-04-04,46,1.3099415204678364,60.257309941520475,27.768345595170725
2020-04-05,0,1.8571428571428572,0.0,0.0
2020-04-06,38,1.8571428571428572,70.57142857142857,32.5213956550362
2020-04-07,0,1.8571428571428572,0.0,0.0
2020-04-08,48,1.8571428571428572,89.14285714285714,41.07965766951941
2020-04-09,56,1.8571428571428572,104.0,47.926267281105986
2020-04-10,0,1.8571428571428572,0.0,0.0
2020-04-11,54,1.8571428571428572,100.28571428571429,46.21461487820934
2020-04-12,42,1.0963855421686746,46.04819277108433,21.22036533229692
2020-04-13,57,1.0963855421686746,62.49397590361445,28.79906723668868
2020-04-14,43,1.0963855421686746,47.14457831325301,21.725612125923043
2020-04-15,38,1.0963855421686746,41.662650602409634,19.199378157792456
2020-04-16,76,1.0963855421686746,83.32530120481927,38.39875631558491
2020-04-17,0,1.0963855421686746,0.0,0.0
2020-04-18,76,1.0963855421686746,83.32530120481927,38.39875631558491
2020-04-19,0,2.7820512820512824,0.0,0.0
2020-04-20,0,2.7820512820512824,0.0,0.0
2020-04-21,0,2.7820512820512824,0.0,0.0
2020-04-22,0,2.7820512820512824,0.0,0.0
2020-04-23,78,2.7820512820512824,217.00000000000003,100.0
2020-04-24,0,2.7820512820512824,0.0,0.0
2020-04-25,0,2.7820512820512824,0.0,0.0
2020-04-26,0,0.8750000000000001,0.0,0.0
2020-04-27,100,0.8750000000000001,87.50000000000001,40.322580645161295
2020-04-28,69,0.8750000000000001,60.37500000000001,27.82258064516129
2020-04-29,92,0.8750000000000001,80.50000000000001,37.096774193548384
2020-04-30,67,0.8750000000000001,58.62500000000001,27.016129032258064
2020-05-01,0,0.8750000000000001,0.0,0.0
2020-05-02,0,0.8750000000000001,0.0,0.0
2020-05-03,0,1.712230215827338,0.0,0.0
2020-05-04,70,1.712230215827338,119.85611510791365,55.23323276862379
2020-05-05,0,1.712230215827338,0.0,0.0
2020-05-06,0,1.712230215827338,0.0,0.0
2020-05-07,69,1.712230215827338,118.14388489208632,54.44418658621488
2020-05-08,0,1.712230215827338,0.0,0.0
2020-05-09,0,1.712230215827338,0.0,0.0
2020-05-10,0,,0.0,0.0
2020-05-11,0,,0.0,0.0
2020-05-12,0,,0.0,0.0
2020-05-13,0,,0.0,0.0
2020-05-14,0,,0.0,0.0
2020-05-15,0,,0.0,0.0
2020-05-16,0,,0.0,0.0
2020-05-17,0,1.0235849056603774,0.0,0.0
2020-05-18,73,1.0235849056603774,74.72169811320755,34.43396226415094
2020-05-19,60,1.0235849056603774,61.41509433962264,28.301886792452823
2020-05-20,0,1.0235849056603774,0.0,0.0
2020-05-21,0,1.0235849056603774,0.0,0.0
2020-05-22,0,1.0235849056603774,0.0,0.0
2020-05-23,79,1.0235849056603774,80.86320754716982,37.264150943396224
2020-05-24,0,,0.0,0.0
2020-05-25,0,,0.0,0.0
2020-05-26,0,,0.0,0.0
2020-05-27,0,,0.0,0.0
2020-05-28,0,,0.0,0.0
2020-05-29,0,,0.0,0.0
2020-05-30,0,,0.0,0.0
2020-05-31,0,1.0596330275229358,0.0,0.0
2020-06-01,0,1.0596330275229358,0.0,0.0
2020-06-02,74,1.0596330275229358,78.41284403669725,36.134951168984905
2020-06-03,0,1.0596330275229358,0.0,0.0
2020-06-04,0,1.0596330275229358,0.0,0.0
2020-06-05,79,1.0596330275229358,83.71100917431193,38.57650192364604
2020-06-06,65,1.0596330275229358,68.87614678899082,31.740159810594847
2020-06-07,73,0.6412213740458015,46.80916030534351,21.571041615365672
2020-06-08,0,0.6412213740458015,0.0,0.0
2020-06-09,58,0.6412213740458015,37.19083969465649,17.138635803989164
2020-06-10,50,0.6412213740458015,32.06106870229007,14.774686037921692
2020-06-11,66,0.6412213740458015,42.3206106870229,19.50258557005663
2020-06-12,82,0.6412213740458015,52.58015267175572,24.230485102191572
2020-06-13,64,0.6412213740458015,41.038167938931295,18.911598128539765
2020-06-14,100,1.0584192439862543,105.84192439862544,48.775080368030146
2020-06-15,0,1.0584192439862543,0.0,0.0
2020-06-16,50,1.0584192439862543,52.92096219931272,24.387540184015073
2020-06-17,58,1.0584192439862543,61.38831615120275,28.289546613457482
2020-06-18,0,1.0584192439862543,0.0,0.0
2020-06-19,42,1.0584192439862543,44.45360824742268,20.48553375457266
2020-06-20,41,1.0584192439862543,43.39518900343643,19.997782950892358
2020-06-21,50,1.1317365269461075,56.586826347305376,26.076878501062385
2020-06-22,53,1.1317365269461075,59.982035928143695,27.641491211126123
2020-06-23,37,1.1317365269461075,41.87425149700598,19.29689009078616
2020-06-24,68,1.1317365269461075,76.9580838323353,35.46455476144484
2020-06-25,0,1.1317365269461075,0.0,0.0
2020-06-26,64,1.1317365269461075,72.43113772455088,33.378404481359844
2020-06-27,62,1.1317365269461075,70.16766467065867,32.335329341317355
