date,headache,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-03-16,79,1.177570093457944,93.02803738317758,79.59541754597528
2020-03-17,85,1.177570093457944,100.09345794392524,85.64063913174556
2020-03-18,70,1.177570093457944,82.42990654205609,70.52758516731987
2020-03-19,58,1.177570093457944,68.29906542056075,58.43714199577932
2020-03-20,55,1.177570093457944,64.76635514018692,55.41453120289418
2020-03-21,81,1.177570093457944,95.38317757009347,81.6104914078987
2020-03-22,90,1.1626297577854672,104.63667820069205,89.52784909030026
2020-03-23,75,1.1626297577854672,87.19723183391004,74.60654090858355
2020-03-24,84,1.1626297577854672,97.66089965397924,83.55932581761357
2020-03-25,76,1.1626297577854672,88.3598615916955,75.60129478736467
2020-03-26,81,1.1626297577854672,94.17301038062284,80.57506418127022
2020-03-27,81,1.1626297577854672,94.17301038062284,80.57506418127022
2020-03-28,91,1.1626297577854672,105.79930795847751,90.52260296908136
2020-03-29,73,1.1503496503496504,83.97552447552448,71.85002631776825
2020-03-30,86,1.1503496503496504,98.93006993006993,84.64523648394616
2020-03-31,78,1.1503496503496504,89.72727272727273,76.77126099706744
2020-04-01,68,1.1503496503496504,78.22377622377623,66.92879163846905
2020-04-02,100,1.1503496503496504,115.03496503496504,98.42469358598392
2020-04-03,78,1.1503496503496504,89.72727272727273,76.77126099706744
2020-04-04,89,1.1503496503496504,102.3811188811189,87.59797729152568
2020-04-05,63,1.1498194945848377,72.43862815884478,61.978979853266566
2020-04-06,85,1.1498194945848377,97.73465703971121,83.62243313535967
2020-04-07,77,1.1498194945848377,88.5361010830325,75.75208648732581
2020-04-08,69,1.1498194945848377,79.3375451263538,67.88173983929197
2020-04-09,81,1.1498194945848377,93.13537906137185,79.68725981134274
2020-04-10,91,1.1498194945848377,104.63357400722023,89.52519312138504
2020-04-11,88,1.1498194945848377,101.18411552346572,86.57381312837235
2020-04-12,83,1.1122625215889466,92.31778929188256,78.98772447861533
2020-04-13,67,1.1122625215889466,74.52158894645942,63.761175181532856
2020-04-14,88,1.1122625215889466,97.8791018998273,83.74602113395362
2020-04-15,83,1.1122625215889466,92.31778929188256,78.98772447861533
2020-04-16,81,1.1122625215889466,90.09326424870467,77.08440581648003
2020-04-17,98,1.1122625215889466,109.00172711571676,93.26261444463016
2020-04-18,79,1.1122625215889466,87.86873920552678,75.18108715434472
2020-04-19,97,0.9968354430379748,96.69303797468355,82.73121682319314
2020-04-20,80,0.9968354430379748,79.74683544303798,68.23193140057167
2020-04-21,93,0.9968354430379748,92.70569620253166,79.31962025316456
2020-04-22,87,0.9968354430379748,86.7246835443038,74.20222539812168
2020-04-23,88,0.9968354430379748,87.72151898734178,75.05512454062884
2020-04-24,87,0.9968354430379748,86.7246835443038,74.20222539812168
2020-04-25,100,0.9968354430379748,99.68354430379748,85.28991425071459
2020-04-26,89,1.0159489633173844,90.4194577352472,77.36349916825299
2020-04-27,90,1.0159489633173844,91.43540669856459,78.23275196789628
2020-04-28,99,1.0159489633173844,100.57894736842105,86.05602716468591
2020-04-29,88,1.0159489633173844,89.40350877192982,76.49424636860968
2020-04-30,79,1.0159489633173844,80.25996810207337,68.67097117182007
2020-05-01,90,1.0159489633173844,91.43540669856459,78.23275196789628
2020-05-02,92,1.0159489633173844,93.46730462519936,79.97125756718286
2020-05-03,80,0.9889908256880734,79.11926605504587,67.6949787905692
2020-05-04,69,0.9889908256880734,68.24036697247706,58.386919206865926
2020-05-05,73,0.9889908256880734,72.19633027522936,61.7716681463944
2020-05-06,76,0.9889908256880734,75.16330275229357,64.31022985104073
2020-05-07,74,0.9889908256880734,73.18532110091743,62.61785538127651
2020-05-08,78,0.9889908256880734,77.14128440366973,66.00260432080496
2020-05-09,95,0.9889908256880734,93.95412844036697,80.38778731380093
2020-05-10,61,1.052734375,64.216796875,54.94432543682796
2020-05-11,78,1.052734375,82.11328125,70.25667842741935
2020-05-12,73,1.052734375,76.849609375,65.75304519489247
2020-05-13,76,1.052734375,80.0078125,68.45522513440861
2020-05-14,64,1.052734375,67.375,57.64650537634408
2020-05-15,70,1.052734375,73.69140625,63.050865255376344
2020-05-16,90,1.052734375,94.74609375,81.06539818548387
2020-05-17,87,0.9625,83.7375,71.64637096774193
2020-05-18,99,0.9625,95.28750000000001,81.52862903225807
2020-05-19,55,0.9625,52.9375,45.29368279569893
2020-05-20,86,0.9625,82.775,70.82284946236558
2020-05-21,69,0.9625,66.41250000000001,56.82298387096775
2020-05-22,83,0.9625,79.8875,68.35228494623657
2020-05-23,81,0.9625,77.9625,66.70524193548387
2020-05-24,76,1.0048939641109298,76.37194127243066,65.34434913785542
2020-05-25,92,1.0048939641109298,92.45024469820554,79.1010542195092
