date,work from home,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-03-16,100,1.3544018058690743,135.44018058690745,100.0
2020-03-17,97,1.3544018058690743,131.3769751693002,96.99999999999999
2020-03-18,79,1.3544018058690743,106.99774266365687,78.99999999999999
2020-03-19,64,1.3544018058690743,86.68171557562076,63.99999999999999
2020-03-20,67,1.3544018058690743,90.74492099322798,67.0
2020-03-21,36,1.3544018058690743,48.758465011286674,35.99999999999999
2020-03-22,41,1.5508982035928145,63.5868263473054,46.94827345309382
2020-03-23,54,1.5508982035928145,83.74850299401199,61.83431137724552
2020-03-24,51,1.5508982035928145,79.09580838323355,58.399071856287435
2020-03-25,60,1.5508982035928145,93.05389221556887,68.70479041916168
2020-03-26,50,1.5508982035928145,77.54491017964072,57.253992015968066
2020-03-27,55,1.5508982035928145,85.2994011976048,62.979391217564874
2020-03-28,23,1.5508982035928145,35.67065868263473,26.33683632734531
2020-03-29,30,1.4723247232472323,44.16974169741697,32.61199261992619
2020-03-30,38,1.4723247232472323,55.948339483394825,41.308523985239844
2020-03-31,52,1.4723247232472323,76.56088560885608,56.52745387453875
2020-04-01,48,1.4723247232472323,70.67158671586715,52.179188191881906
2020-04-02,39,1.4723247232472323,57.42066420664206,42.39559040590405
2020-04-03,40,1.4723247232472323,58.89298892988929,43.48265682656826
2020-04-04,24,1.4723247232472323,35.335793357933575,26.089594095940953
2020-04-05,25,1.5302325581395348,38.25581395348837,28.245542635658914
2020-04-06,39,1.5302325581395348,59.67906976744186,44.06304651162791
2020-04-07,43,1.5302325581395348,65.8,48.58233333333333
2020-04-08,46,1.5302325581395348,70.3906976744186,51.97179844961241
2020-04-09,26,1.5302325581395348,39.78604651162791,29.375364341085273
2020-04-10,20,1.5302325581395348,30.604651162790695,22.59643410852713
2020-04-11,16,1.5302325581395348,24.483720930232558,18.077147286821706
2020-04-12,16,1.0083102493074794,16.13296398891967,11.91150507848569
2020-04-13,52,1.0083102493074794,52.43213296398893,38.71239150507849
2020-04-14,34,1.0083102493074794,34.282548476454295,25.311948291782087
2020-04-15,36,1.0083102493074794,36.29916897506926,26.8008864265928
2020-04-16,96,1.0083102493074794,96.79778393351802,71.46903047091413
2020-04-17,75,1.0083102493074794,75.62326869806095,55.835180055401665
2020-04-18,52,1.0083102493074794,52.43213296398893,38.71239150507849
2020-04-19,42,0.6883116883116883,28.90909090909091,21.344545454545454
2020-04-20,91,0.6883116883116883,62.63636363636364,46.246515151515155
2020-04-21,94,0.6883116883116883,64.7012987012987,47.77112554112554
2020-04-22,86,0.6883116883116883,59.1948051948052,43.705497835497845
2020-04-23,79,0.6883116883116883,54.37662337662338,40.1480735930736
2020-04-24,79,0.6883116883116883,54.37662337662338,40.1480735930736
2020-04-25,68,0.6883116883116883,46.80519480519481,34.557835497835505
2020-04-26,51,0.719626168224299,36.70093457943925,27.09752336448598
2020-04-27,83,0.719626168224299,59.72897196261682,44.09989096573209
2020-04-28,79,0.719626168224299,56.850467289719624,41.97459501557632
2020-04-29,100,0.719626168224299,71.96261682242991,53.13239875389408
2020-04-30,95,0.719626168224299,68.3644859813084,50.47577881619938
2020-05-01,63,0.719626168224299,45.336448598130836,33.473411214953266
2020-05-02,64,0.719626168224299,46.05607476635514,34.004735202492206
2020-05-03,49,0.6826003824091779,33.44741873804971,24.69534416826004
2020-05-04,66,0.6826003824091779,45.05162523900574,33.26311663479924
2020-05-05,98,0.6826003824091779,66.89483747609943,49.39068833652008
2020-05-06,71,0.6826003824091779,48.46462715105163,35.78304971319312
2020-05-07,73,0.6826003824091779,49.829827915869984,36.79102294455067
2020-05-08,73,0.6826003824091779,49.829827915869984,36.79102294455067
2020-05-09,93,0.6826003824091779,63.48183556405354,46.8707552581262
2020-05-10,60,0.7321100917431193,43.92660550458716,32.43247706422019
2020-05-11,77,0.7321100917431193,56.372477064220185,41.62167889908257
2020-05-12,75,0.7321100917431193,54.908256880733944,40.54059633027523
2020-05-13,85,0.7321100917431193,62.22935779816514,45.94600917431193
2020-05-14,81,0.7321100917431193,59.30091743119266,43.78384403669725
2020-05-15,87,0.7321100917431193,63.69357798165137,47.027091743119264
2020-05-16,80,0.7321100917431193,58.56880733944954,43.24330275229358
2020-05-17,49,0.8421052631578947,41.26315789473684,30.4659649122807
2020-05-18,91,0.8421052631578947,76.63157894736841,56.579649122807005
2020-05-19,86,0.8421052631578947,72.42105263157895,53.47087719298246
2020-05-20,78,0.8421052631578947,65.68421052631578,48.496842105263156
2020-05-21,67,0.8421052631578947,56.421052631578945,41.657543859649124
2020-05-22,88,0.8421052631578947,74.10526315789474,54.71438596491228
2020-05-23,73,0.8421052631578947,61.473684210526315,45.3880701754386
2020-05-24,52,0.857976653696498,44.6147859922179,32.940583657587545
2020-05-25,75,0.857976653696498,64.34824902723734,47.510457198443575
2020-05-26,66,0.857976653696498,56.626459143968866,41.80920233463035
2020-05-27,85,0.857976653696498,72.92801556420233,53.84518482490272
2020-05-28,89,0.857976653696498,76.35992217898833,56.379075875486386
2020-05-29,86,0.857976653696498,73.78599221789882,54.47865758754863
2020-05-30,61,0.857976653696498,52.336575875486375,38.64183852140077
2020-05-31,84,0.8158783783783784,68.53378378378379,50.600777027027036
2020-06-01,100,0.8158783783783784,81.58783783783784,60.239020270270274
2020-06-02,86,0.8158783783783784,70.16554054054055,51.80555743243244
2020-06-03,91,0.8158783783783784,74.24493243243244,54.81750844594595
2020-06-04,85,0.8158783783783784,69.34966216216216,51.20316722972973
2020-06-05,83,0.8158783783783784,67.7179054054054,49.99838682432433
2020-06-06,63,0.8158783783783784,51.40033783783784,37.95058277027027
2020-06-07,36,0.9201030927835052,33.123711340206185,24.456340206185565
2020-06-08,60,0.9201030927835052,55.206185567010316,40.76056701030929
2020-06-09,55,0.9201030927835052,50.605670103092784,37.36385309278351
2020-06-10,65,0.9201030927835052,59.80670103092784,44.15728092783506
2020-06-11,63,0.9201030927835052,57.96649484536083,42.79859536082475
2020-06-12,61,0.9201030927835052,56.126288659793815,41.43990979381444
2020-06-13,48,0.9201030927835052,44.16494845360825,32.60845360824742
2020-06-14,55,0.8115942028985507,44.63768115942029,32.95748792270531
2020-06-15,40,0.8115942028985507,32.463768115942024,23.96908212560386
2020-06-16,57,0.8115942028985507,46.26086956521739,34.15594202898551
2020-06-17,68,0.8115942028985507,55.188405797101446,40.74743961352657
2020-06-18,71,0.8115942028985507,57.623188405797094,42.54512077294685
2020-06-19,71,0.8115942028985507,57.623188405797094,42.54512077294685
2020-06-20,52,0.8115942028985507,42.20289855072463,31.15980676328502
2020-06-21,53,0.8336483931947071,44.183364839319474,32.622051039697546
2020-06-22,68,0.8336483931947071,56.68809073724008,41.85470699432893
2020-06-23,75,0.8336483931947071,62.52362948960303,46.16327977315691
2020-06-24,100,0.8336483931947071,83.3648393194707,61.55103969754254
2020-06-25,97,0.8336483931947071,80.86389413988658,59.704508506616264
2020-06-26,79,0.8336483931947071,65.85822306238185,48.6253213610586
2020-06-27,57,0.8336483931947071,47.5179584120983,35.08409262759925
2020-06-28,61,0.7938144329896907,48.42268041237113,35.752079037800684
2020-06-29,75,0.7938144329896907,59.5360824742268,43.95747422680412
2020-06-30,80,0.7938144329896907,63.50515463917525,46.88797250859106
2020-07-01,67,0.7938144329896907,53.18556701030928,39.26867697594501
2020-07-02,65,0.7938144329896907,51.597938144329895,38.09647766323024
2020-07-03,72,0.7938144329896907,57.15463917525773,42.19917525773196
2020-07-04,65,0.7938144329896907,51.597938144329895,38.09647766323024
2020-07-05,53,0.8283062645011601,43.90023201856148,32.41300464037123
2020-07-06,77,0.8283062645011601,63.779582366589324,47.090591647331784
2020-07-07,88,0.8283062645011601,72.89095127610209,53.81781902552204
2020-07-08,60,0.8283062645011601,49.698375870069604,36.69396751740139
2020-07-09,67,0.8283062645011601,55.49651972157773,40.97493039443156
2020-07-10,36,0.8283062645011601,29.819025522041763,22.016380510440836
2020-07-11,50,0.8283062645011601,41.415313225058,30.57830626450116
2020-07-12,44,0.8235294117647058,36.23529411764706,26.75372549019608
2020-07-13,80,0.8235294117647058,65.88235294117646,48.64313725490196
2020-07-14,57,0.8235294117647058,46.94117647058823,34.658235294117645
2020-07-15,76,0.8235294117647058,62.588235294117645,46.21098039215686
2020-07-16,58,0.8235294117647058,47.76470588235294,35.26627450980392
2020-07-17,55,0.8235294117647058,45.29411764705882,33.4421568627451
2020-07-18,55,0.8235294117647058,45.29411764705882,33.4421568627451
2020-07-19,42,0.689727463312369,28.968553459119498,21.38844863731656
2020-07-20,71,0.689727463312369,48.9706498951782,36.15666317260657
2020-07-21,68,0.689727463312369,46.901467505241094,34.62891684136968
2020-07-22,63,0.689727463312369,43.45283018867925,32.08267295597485
2020-07-23,100,0.689727463312369,68.9727463312369,50.924877707896584
2020-07-24,74,0.689727463312369,51.03983228511531,37.68440950384347
2020-07-25,59,0.689727463312369,40.69392033542977,30.045677847658986
2020-07-26,79,0.6972111553784861,55.0796812749004,40.6671646746348
2020-07-27,72,0.6972111553784861,50.199203187251,37.063745019920326
2020-07-28,81,0.6972111553784861,56.474103585657375,41.696713147410364
2020-07-29,72,0.6972111553784861,50.199203187251,37.063745019920326
2020-07-30,86,0.6972111553784861,59.9601593625498,44.27058432934927
2020-07-31,52,0.6972111553784861,36.254980079681275,26.768260292164676
2020-08-01,60,0.6972111553784861,41.832669322709165,30.886454183266938
2020-08-02,63,0.739622641509434,46.59622641509434,34.40354716981132
2020-08-03,98,0.739622641509434,72.48301886792453,53.51662893081761
2020-08-04,85,0.739622641509434,62.86792452830189,46.41748427672957
2020-08-05,72,0.739622641509434,53.25283018867925,39.31833962264151
2020-08-06,74,0.739622641509434,54.73207547169812,40.41051572327044
2020-08-07,72,0.739622641509434,53.25283018867925,39.31833962264151
2020-08-08,66,0.739622641509434,48.81509433962265,36.041811320754725
2020-08-09,50,0.7034313725490197,35.17156862745098,25.968341503267972
2020-08-10,68,0.7034313725490197,47.833333333333336,35.316944444444445
2020-08-11,59,0.7034313725490197,41.50245098039216,30.642642973856216
2020-08-12,62,0.7034313725490197,43.61274509803922,32.20074346405229
2020-08-13,65,0.7034313725490197,45.72303921568628,33.75884395424837
2020-08-14,67,0.7034313725490197,47.129901960784316,34.79757761437909
2020-08-15,37,0.7034313725490197,26.026960784313726,19.2165727124183
2020-08-16,52,0.6026490066225166,31.337748344370866,23.13770419426049
2020-08-17,72,0.6026490066225166,43.390728476821195,32.03682119205298
2020-08-18,63,0.6026490066225166,37.96688741721855,28.032218543046366
2020-08-19,85,0.6026490066225166,51.225165562913915,37.82124724061811
2020-08-20,59,0.6026490066225166,35.55629139072848,26.25239514348786
2020-08-21,78,0.6026490066225166,47.0066225165563,34.70655629139073
2020-08-22,44,0.6026490066225166,26.51655629139073,19.578057395143492
2020-08-23,45,0.5576519916142558,25.094339622641513,18.527987421383653
2020-08-24,77,0.5576519916142558,42.939203354297696,31.703445143256463
2020-08-25,87,0.5576519916142558,48.515723270440255,35.82077568134172
2020-08-26,59,0.5576519916142558,32.901467505241094,24.29225017470301
2020-08-27,100,0.5576519916142558,55.765199161425585,41.17330538085256
2020-08-28,48,0.5576519916142558,26.767295597484278,19.763186582809226
2020-08-29,61,0.5576519916142558,34.01677148846961,25.11571628232006
2020-08-30,51,0.6004184100418409,30.621338912133886,22.60875523012552
2020-08-31,76,0.6004184100418409,45.63179916317991,33.691478382147835
2020-09-01,73,0.6004184100418409,43.830543933054386,32.361551603905156
2020-09-02,86,0.6004184100418409,51.63598326359832,38.124567642956755
2020-09-03,78,0.6004184100418409,46.83263598326359,34.57809623430962
2020-09-04,65,0.6004184100418409,39.02719665271966,28.815080195258012
2020-09-05,49,0.6004184100418409,29.420502092050206,21.722137377963737
2020-09-06,40,0.6194690265486726,24.778761061946906,18.294985250737465
2020-09-07,74,0.6194690265486726,45.840707964601776,33.84572271386431
2020-09-08,67,0.6194690265486726,41.50442477876107,30.64410029498526
2020-09-09,60,0.6194690265486726,37.16814159292036,27.442477876106196
2020-09-10,73,0.6194690265486726,45.221238938053105,33.388348082595876
2020-09-11,75,0.6194690265486726,46.46017699115045,34.30309734513275
2020-09-12,63,0.6194690265486726,39.02654867256638,28.81460176991151
2020-09-13,61,0.5562913907284769,33.93377483443709,25.05443708609272
2020-09-14,68,0.5562913907284769,37.82781456953643,27.92953642384106
2020-09-15,86,0.5562913907284769,47.84105960264901,35.32264900662252
2020-09-16,69,0.5562913907284769,38.384105960264904,28.340264900662255
2020-09-17,45,0.5562913907284769,25.03311258278146,18.482781456953646
2020-09-18,64,0.5562913907284769,35.60264900662252,26.286622516556296
2020-09-19,60,0.5562913907284769,33.37748344370861,24.643708609271524
2020-09-20,100,0.446551724137931,44.655172413793096,32.97040229885057
2020-09-21,81,0.446551724137931,36.17068965517241,26.706025862068966
2020-09-22,93,0.446551724137931,41.52931034482758,30.662474137931028
2020-09-23,89,0.446551724137931,39.74310344827586,29.343658045977012
2020-09-24,86,0.446551724137931,38.40344827586206,28.35454597701149
2020-09-25,73,0.446551724137931,32.59827586206896,24.068393678160916
2020-09-26,58,0.446551724137931,25.9,19.122833333333332
2020-09-27,52,0.4578059071729958,23.80590717299578,17.576694796061883
2020-09-28,77,0.4578059071729958,35.25105485232068,26.0270288326301
2020-09-29,83,0.4578059071729958,37.99789029535865,28.05510900140647
2020-09-30,86,0.4578059071729958,39.37130801687764,29.06914908579466
2020-10-01,72,0.4578059071729958,32.962025316455694,24.336962025316456
2020-10-02,37,0.4578059071729958,16.938818565400844,12.506494374120958
2020-10-03,67,0.4578059071729958,30.672995780590718,22.646895218002815
2020-10-04,53,0.4603174603174603,24.396825396825395,18.012989417989417
2020-10-05,92,0.4603174603174603,42.34920634920635,31.26783068783069
2020-10-06,46,0.4603174603174603,21.174603174603174,15.633915343915344
2020-10-07,67,0.4603174603174603,30.84126984126984,22.771137566137565
2020-10-08,68,0.4603174603174603,31.3015873015873,23.11100529100529
2020-10-09,61,0.4603174603174603,28.07936507936508,20.73193121693122
2020-10-10,54,0.4603174603174603,24.857142857142854,18.35285714285714
2020-10-11,65,0.4191616766467066,27.24550898203593,20.11626746506986
2020-10-12,91,0.4191616766467066,38.143712574850305,28.16277445109781
2020-10-13,61,0.4191616766467066,25.568862275449103,18.878343313373254
2020-10-14,83,0.4191616766467066,34.79041916167665,25.686926147704597
2020-10-15,75,0.4191616766467066,31.437125748502996,23.21107784431138
2020-10-16,82,0.4191616766467066,34.37125748502994,25.377445109780446
2020-10-17,44,0.4191616766467066,18.443113772455092,13.617165668662675
2020-10-18,68,0.4262295081967213,28.983606557377048,21.399562841530052
2020-10-19,56,0.4262295081967213,23.86885245901639,17.623169398907105
2020-10-20,67,0.4262295081967213,28.557377049180324,21.08486338797814
2020-10-21,61,0.4262295081967213,26.0,19.19666666666667
2020-10-22,63,0.4262295081967213,26.852459016393443,19.826065573770492
2020-10-23,61,0.4262295081967213,26.0,19.19666666666667
2020-10-24,51,0.4262295081967213,21.737704918032787,16.049672131147542
2020-10-25,58,0.4064516129032258,23.574193548387097,17.405612903225805
2020-10-26,77,0.4064516129032258,31.296774193548387,23.107451612903226
2020-10-27,85,0.4064516129032258,34.54838709677419,25.508225806451613
2020-10-28,100,0.4064516129032258,40.64516129032258,30.009677419354837
2020-10-29,62,0.4064516129032258,25.2,18.606
2020-10-30,37,0.4064516129032258,15.038709677419353,11.10358064516129
2020-10-31,46,0.4064516129032258,18.696774193548386,13.804451612903227
2020-11-01,77,0.418141592920354,32.19690265486726,23.772046460176995
